row_label_raw,row_label_full,Chỉ tiêu,Mã số,Thuyết minh,Năm 2015 VND,Năm 2014 VND,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2015 VND,numeric__Năm 2014 VND
Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,,,,
Lợi nhuận trước thuế,Lưu chuyển tiền từ hoạt động kinh doanh > Lợi nhuận trước thuế,Lợi nhuận trước thuế,01,,2.277.425.864.007,3.407.508.061.418,1.0,,2277425864007.0,3407508061418.0
Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,,,,
Khấu hao TSCĐ và BĐSĐT,Điều chỉnh cho các khoản > Khấu hao TSCĐ và BĐSĐT,Khấu hao TSCĐ và BĐSĐT,02,,3.611.284.831.241,2.127.626.078.471,2.0,,3611284831241.0,2127626078471.0
Các khoản dự phòng,Điều chỉnh cho các khoản > Các khoản dự phòng,Các khoản dự phòng,03,,322.276.914.884,(61.062.170.277),3.0,,322276914884.0,-61062170277.0
Lỗ/(Lãi) các khoản chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Điều chỉnh cho các khoản > Lỗ/(Lãi) các khoản chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Lỗ/(Lãi) các khoản chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,04,,666.134.851.925,(1.451.164.079.041),4.0,,666134851925.0,-1451164079041.0
(Lãi) từ hoạt động đầu tư,Điều chỉnh cho các khoản > (Lãi) từ hoạt động đầu tư,(Lãi) từ hoạt động đầu tư,05,,(1.082.485.780.338),(975.035.978.050),5.0,,-1082485780338.0,-975035978050.0
Chi phí lãi vay,Điều chỉnh cho các khoản > Chi phí lãi vay,Chi phí lãi vay,06,,89.866.585.692,66.409.859.888,6.0,,89866585692.0,66409859888.0
Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,Điều chỉnh cho các khoản > Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,5.884.503.267.411,3.114.281.772.409,8.0,,5884503267411.0,3114281772409.0
Giảm các khoản phải thu,Điều chỉnh cho các khoản > Giảm các khoản phải thu,Giảm các khoản phải thu,09,,332.649.968.861,2.271.929.400.450,9.0,,332649968861.0,2271929400450.0
