row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,31/12/2015 VND,01/01/2015 VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2015 VND,numeric__01/01/2015 VND
TÀI SẢN NGĂN HẠN,TÀI SẢN NGĂN HẠN,TÀI SẢN NGĂN HẠN,100,,21.815.378.300.732,19.001.583.028.846,100.0,,21815378300732.0,19001583028846.0
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,110,4,4.466.482.193.053,3.897.438.211.993,110.0,4.0,4466482193053.0,3897438211993.0
Tiền,Tiền,Tiền,111,,4.207.482.193.053,3.531.634.386.864,111.0,,4207482193053.0,3531634386864.0
Các khoản tương đương tiền,Các khoản tương đương tiền,Các khoản tương đương tiền,112,,259.000.000.000,365.803.825.129,112.0,,259000000000.0,365803825129.0
Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,120,,12.864.251.577.500,10.669.251.577.500,120.0,,12864251577500.0,10669251577500.0
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,121,5a,28.851.577.500,28.851.577.500,121.0,,28851577500.0,28851577500.0
Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,123,5b,12.835.400.000.000,10.640.400.000.000,123.0,,12835400000000.0,10640400000000.0
Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,130,,3.478.339.376.601,3.375.900.631.637,130.0,,3478339376601.0,3375900631637.0
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,6,1.554.051.611.707,1.077.577.420.705,131.0,6.0,1554051611707.0,1077577420705.0
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,132,7,1.441.502.602.833,1.631.934.234.802,132.0,7.0,1441502602833.0,1631934234802.0
