row_label_raw,row_label_full,Chỉ tiêu,Mã số,Sau điều chỉnh VND,Năm 2014 Điều chỉnh VND,Trước điều chỉnh VND,numeric__Mã số,numeric__Sau điều chỉnh VND,numeric__Năm 2014 Điều chỉnh VND,numeric__Trước điều chỉnh VND
Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,,,,
"Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","Lưu chuyển tiền từ hoạt động tài chính > Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,321.939.231.747,-,321.939.231.747,31.0,321939231747.0,,321939231747.0
Tiền thu từ đi vay,Lưu chuyển tiền từ hoạt động tài chính > Tiền thu từ đi vay,Tiền thu từ đi vay,33,5.961.326.516.911,-,5.961.326.516.911,33.0,5961326516911.0,,5961326516911.0
Tiền trả nợ gốc vay,Lưu chuyển tiền từ hoạt động tài chính > Tiền trả nợ gốc vay,Tiền trả nợ gốc vay,34,(666.501.173.147),-,(666.501.173.147),34.0,-666501173147.0,,-666501173147.0
"Cổ tức, lợi nhuận đã trả cho chủ sở hữu","Lưu chuyển tiền từ hoạt động tài chính > Cổ tức, lợi nhuận đã trả cho chủ sở hữu","Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,(280.607.453.975),-,(280.607.453.975),36.0,-280607453975.0,,-280607453975.0
Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,5.336.157.121.536,-,5.336.157.121.536,40.0,5336157121536.0,,5336157121536.0
Lưu chuyển tiền thuần trong năm,Lưu chuyển tiền từ hoạt động tài chính > Lưu chuyển tiền thuần trong năm,Lưu chuyển tiền thuần trong năm,50,1.370.786.398.249,(57.999.999.747),1.428.786.397.995,50.0,1370786398249.0,-57999999747.0,1428786397995.0
Tiền và tương đương tiền đầu năm,Lưu chuyển tiền từ hoạt động tài chính > Tiền và tương đương tiền đầu năm,Tiền và tương đương tiền đầu năm,60,2.516.391.493.246,-,2.516.391.493.246,60.0,2516391493246.0,,2516391493246.0
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Lưu chuyển tiền từ hoạt động tài chính > Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,10.260.320.498,-,10.260.320.498,61.0,10260320498.0,,10260320498.0
Tiền và tương đương tiền cuối năm,Lưu chuyển tiền từ hoạt động tài chính > Tiền và tương đương tiền cuối năm,Tiền và tương đương tiền cuối năm,70,3.897.438.211.993,(57.999.999.746),3.955.438.211.740,70.0,3897438211993.0,-57999999746.0,3955438211740.0
