row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2015 (Triệu VND),Quá hạn,Không hưởng lãi,Đến 1 tháng,Từ trên 1 đến 3 tháng,Từ trên 3 đến 6 tháng,Từ trên 6 đến 12 tháng,Trên 1 năm,Tổng cộng,numeric__Quá hạn,numeric__Không hưởng lãi,numeric__Đến 1 tháng,numeric__Từ trên 1 đến 3 tháng,numeric__Từ trên 3 đến 6 tháng,numeric__Từ trên 6 đến 12 tháng,numeric__Trên 1 năm,numeric__Tổng cộng
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,1.235.658,-,-,-,-,-,1.235.658,,1235658.0,,,,,,1235658.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,8.181.894,-,-,-,-,8.181.894,,,8181894.0,,,,,8181894.0
Tiền gửi và cho vay các TCTD khác - gộp,Tài sản > Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,266.500,-,15.705.281,7.250.485,3.046.364,659.320,2.000.000,28.927.950,266500.0,,15705281.0,7250485.0,3046364.0,659320.0,2000000.0,28927950.0
Chứng khoán kinh doanh - gộp,Tài sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,-,647.578,1.161.701,447.831,590.619,55.536,711.044,3.614.309,,647578.0,1161701.0,447831.0,590619.0,55536.0,711044.0,3614309.0
Các công cụ tài chính phải sinh và tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và tài sản tài chính khác,Các công cụ tài chính phải sinh và tài sản tài chính khác,-,-,96.437,-,-,-,-,96.437,,,96437.0,,,,,96437.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,4.626.645,-,10.434.072,62.781.377,24.984.144,12.371.592,6.150.800,121.348.630,4626645.0,,10434072.0,62781377.0,24984144.0,12371592.0,6150800.0,121348630.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,280.000,484.285,1.978.730,4.081.485,3.147.938,2.053.850,35.556.874,47.583.162,280000.0,484285.0,1978730.0,4081485.0,3147938.0,2053850.0,35556874.0,47583162.0
"Góp vốn, đầu tư dài hạn - gộp","Tài sản > Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp",32.530,1.794.884,-,-,-,-,-,1.827.414,32530.0,1794884.0,,,,,,1827414.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,1.931.689,-,-,-,-,-,1.931.689,,1931689.0,,,,,,1931689.0
Bất động sản đầu tư,Tài sản > Bất động sản đầu tư,Bất động sản đầu tư,-,298.451,-,-,-,-,-,298.451,,298451.0,,,,,,298451.0
Tài sản có khác - gộp,Tài sản > Tài sản có khác - gộp,Tài sản có khác - gộp,629.373,9.016.724,-,-,-,-,-,9.646.097,629373.0,9016724.0,,,,,,9646097.0
,,,5.835.048,15.409.269,37.558.115,74.561.178,31.769.065,15.140.298,44.418.718,224.691.691,5835048.0,15409269.0,37558115.0,74561178.0,31769065.0,15140298.0,44418718.0,224691691.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Các khoản nợ Chính phủ và NHNNVN,Nợ phải trả > Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,-,-,1.411.502,-,-,-,-,1.411.502,,,1411502.0,,,,,1411502.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,4.908.377,68.544,50.000,497.010,1.985.555,7.509.486,,,4908377.0,68544.0,50000.0,497010.0,1985555.0,7509486.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,586.752,55.477.340,55.633.550,26.841.168,29.142.493,13.884.081,181.565.384,,586752.0,55477340.0,55633550.0,26841168.0,29142493.0,13884081.0,181565384.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,767,3.165,4.706,309.320,317.958,,,,767.0,3165.0,4706.0,309320.0,317958.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,80.058,-,-,-,2.370.000,2.450.058,,,80058.0,,,,2370000.0,2450058.0
Nợ phải trả khác,Nợ phải trả > Nợ phải trả khác,Nợ phải trả khác,-,4.604.554,-,-,-,-,-,4.604.554,,4604554.0,,,,,,4604554.0
,,,-,5.191.306,61.877.277,55.702.861,26.894.333,29.644.209,18.548.956,197.858.942,,5191306.0,61877277.0,55702861.0,26894333.0,29644209.0,18548956.0,197858942.0
Mức chênh nhạy cảm với lãi suất,Nợ phải trả > Mức chênh nhạy cảm với lãi suất,Mức chênh nhạy cảm với lãi suất,5.835.048,10.217.963,(24.319.162),18.858.317,4.874.732,(14.503.911),25.869.762,26.832.749,5835048.0,10217963.0,-24319162.0,18858317.0,4874732.0,-14503911.0,25869762.0,26832749.0
