row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2016(Triệu VND),VND,USD,EUR,Vàng,Tiền tệ khác,Tổng cộng,numeric__VND,numeric__USD,numeric__EUR,numeric__Vàng,numeric__Tiền tệ khác,numeric__Tổng cộng
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,1.161.239,267.655,58.288,3.281,29.489,1.519.952,1161239.0,267655.0,58288.0,3281.0,29489.0,1519952.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,6.846.150,3.068.777,-,-,87.551,10.002.478,6846150.0,3068777.0,,,87551.0,10002478.0
Tiền gửi và cho vay các TCTD khác - gộp,Tài sản > Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,23.399.145,992.451,2.717.570,-,39.849,27.149.015,23399145.0,992451.0,2717570.0,,39849.0,27149015.0
Chứng khoán kinh doanh - gộp,Tài sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,1.060.665,-,-,-,-,1.060.665,1060665.0,,,,,1060665.0
Các công cụ tài chính phải sinhvà các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinhvà các tài sản tài chính khác,Các công cụ tài chính phải sinhvà các tài sản tài chính khác,1.102.414,(1.026.180),(332),-,(22.483),53.419,1102414.0,-1026180.0,-332.0,,-22483.0,53419.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,129.231.439,21.081.174,28.354,-,396.735,150.737.702,129231439.0,21081174.0,28354.0,,396735.0,150737702.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,50.475.075,4.431.800,-,-,-,54.906.875,50475075.0,4431800.0,,,,54906875.0
"Góp vốn, đầu tư dài hạn - gộp","Tài sản > Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp",974.688,-,630,-,-,975.318,974688.0,,630.0,,,975318.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,2.444.377,8.563,-,-,4.904,2.457.844,2444377.0,8563.0,,,4904.0,2457844.0
Bất động sản đầu tư,Tài sản > Bất động sản đầu tư,Bất động sản đầu tư,149.175,-,-,-,-,149.175,149175.0,,,,,149175.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,9.873.857,1.938.489,12.375,-,64.214,11.888.935,9873857.0,1938489.0,12375.0,,64214.0,11888935.0
,,,226.718.224,30.762.729,2.816.885,3.281,600.259,260.901.378,226718224.0,30762729.0,2816885.0,3281.0,600259.0,260901378.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,17.821.714,6.883.351,18,-,7.893,24.712.976,17821714.0,6883351.0,18.0,,7893.0,24712976.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,166.135.164,25.489.764,2.826.031,-,361.438,194.812.397,166135164.0,25489764.0,2826031.0,,361438.0,194812397.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTDchịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTDchịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTDchịu rủi ro",258.170,-,-,-,-,258.170,258170.0,,,,,258170.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,2.366.953,-,-,-,-,2.366.953,2366953.0,,,,,2366953.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,7.344.845,159.363,1.775,-,13.575,7.519.558,7344845.0,159363.0,1775.0,,13575.0,7519558.0
,,,193.926.846,32.532.478,2.827.824,-,382.906,229.670.054,193926846.0,32532478.0,2827824.0,,382906.0,229670054.0
Trạng thái tiền tệ nội bằng,Nợ phải trả > Trạng thái tiền tệ nội bằng,Trạng thái tiền tệ nội bằng,32.791.378,(1.769.749),(10.939),3.281,217.353,31.231.324,32791378.0,-1769749.0,-10939.0,3281.0,217353.0,31231324.0
