row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc Triệu VND,Máy móc thiết bị Triệu VND,Phương tiện vận tải Triệu VND,Các tài sản cố định hữu hình khác Triệu VND,Tổng cộng Triệu VND,numeric__Nhà cửa và vật kiến trúc Triệu VND,numeric__Máy móc thiết bị Triệu VND,numeric__Phương tiện vận tải Triệu VND,numeric__Các tài sản cố định hữu hình khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư tại ngày 1 tháng 1 năm 2016,Nguyên giá > Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,483.617,722.027,487.691,126.844,1.820.179,483617.0,722027.0,487691.0,126844.0,1820179.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,734.299,157.203,68.950,15.252,975.704,734299.0,157203.0,68950.0,15252.0,975704.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,(40.989),(8.813),(12.018),(2.020),(63.840),-40989.0,-8813.0,-12018.0,-2020.0,-63840.0
Tăng do mua Tổng Công Ty Cổ phần Bảo hiểm Quản đội,Nguyên giá > Tăng do mua Tổng Công Ty Cổ phần Bảo hiểm Quản đội,Tăng do mua Tổng Công Ty Cổ phần Bảo hiểm Quản đội,56.772,4.866,54.436,-,116.074,56772.0,4866.0,54436.0,,116074.0
Tăng do sáp nhập SDFC,Nguyên giá > Tăng do sáp nhập SDFC,Tăng do sáp nhập SDFC,-,1.399,2.514,238,4.151,,1399.0,2514.0,238.0,4151.0
Số dư tại ngày 31 tháng 12 năm 2016,Nguyên giá > Số dư tại ngày 31 tháng 12 năm 2016,Số dư tại ngày 31 tháng 12 năm 2016,1.233.699,876.682,601.573,140.314,2.852.268,1233699.0,876682.0,601573.0,140314.0,2852268.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư tại ngày 1 tháng 1 năm 2016,Giá trị hao mòn lũy kế > Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,68.355,600.596,335.175,84.968,1.089.094,68355.0,600596.0,335175.0,84968.0,1089094.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,36.604,102.929,68.510,27.701,235.744,36604.0,102929.0,68510.0,27701.0,235744.0
Giảm trong năm,Giá trị hao mòn lũy kế > Giảm trong năm,Giảm trong năm,(9.603),(10.188),(3.703),(3.306),(26.800),-9603.0,-10188.0,-3703.0,-3306.0,-26800.0
Tăng do mua Tổng Công Ty Cổ phần Bảo hiểm Quản đội,Giá trị hao mòn lũy kế > Tăng do mua Tổng Công Ty Cổ phần Bảo hiểm Quản đội,Tăng do mua Tổng Công Ty Cổ phần Bảo hiểm Quản đội,6.546,2.769,26.601,-,35.916,6546.0,2769.0,26601.0,,35916.0
Tăng do sáp nhập SDFC,Giá trị hao mòn lũy kế > Tăng do sáp nhập SDFC,Tăng do sáp nhập SDFC,-,1.374,2.514,212,4.100,,1374.0,2514.0,212.0,4100.0
Số dư tại ngày 31 tháng 12 năm 2016,Giá trị hao mòn lũy kế > Số dư tại ngày 31 tháng 12 năm 2016,Số dư tại ngày 31 tháng 12 năm 2016,101.902,697.480,429.097,109.575,1.338.054,101902.0,697480.0,429097.0,109575.0,1338054.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư tại ngày 1 tháng 1 năm 2016,Giá trị còn lại > Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,415.262,121.431,152.516,41.876,731.085,415262.0,121431.0,152516.0,41876.0,731085.0
Số dư tại ngày 31 tháng 12 năm 2016,Giá trị còn lại > Số dư tại ngày 31 tháng 12 năm 2016,Số dư tại ngày 31 tháng 12 năm 2016,1.131.797,179.202,172.476,30.739,1.514.214,1131797.0,179202.0,172476.0,30739.0,1514214.0
