row_label_raw,row_label_full,Loại tiền,Mức tănglãi suất31/12/2016,Ảnh hưởng đếnkết quả hoạt độngkinh doanh sau thuế31/12/2016Triệu VND,numeric__Mức tănglãi suất31/12/2016,numeric__Ảnh hưởng đếnkết quả hoạt độngkinh doanh sau thuế31/12/2016Triệu VND
VND,VND,VND,"2,00%",399.752,0.02,399752.0
USD,USD,USD,"1,00%",(4.971),0.01,-4971.0
Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,,
Loại tiền,Loại tiền,Loại tiền,Mức tănglãi suất31/12/2015,Ảnh hưởng đếnkết quả hoạt độngkinh doanh sau thuế31/12/2015Triệu VND,,
VND,Loại tiền > VND,VND,"2,00%",286.006,0.02,286006.0
USD,Loại tiền > USD,USD,"1,00%",(15.800),0.01,-15800.0
