row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2016,Khách hàng cá nhân và doanh nghiệpTriệu VND,Đầu tưTriệu VND,Hoạt động liên ngân hàngTriệu VND,Khối quản lý tài sảnTriệu VND,Hoạt động kinh doanh bảo hiểmTriệu VND,Hoạt động chung không phân bổTriệu VND,Tổng cộngTriệu VND,numeric__Khách hàng cá nhân và doanh nghiệpTriệu VND,numeric__Đầu tưTriệu VND,numeric__Hoạt động liên ngân hàngTriệu VND,numeric__Khối quản lý tài sảnTriệu VND,numeric__Hoạt động kinh doanh bảo hiểmTriệu VND,numeric__Hoạt động chung không phân bổTriệu VND,numeric__Tổng cộngTriệu VND
Tài sản,Tài sản,Tài sản,152.434.049,51.939.271,24.554.912,2.145.154,4.020.337,21.164.777,256.258.500,152434049.0,51939271.0,24554912.0,2145154.0,4020337.0,21164777.0,256258500.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,197.421.284,2.000.000,24.140.703,932.115,2.100.129,3.075.823,229.670.054,197421284.0,2000000.0,24140703.0,932115.0,2100129.0,3075823.0,229670054.0
Tài sản cố định – thuần,Tài sản cố định – thuần,Tài sản cố định – thuần,-,-,-,35.536,137.314,2.284.994,2.457.844,,,,35536.0,137314.0,2284994.0,2457844.0
2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016.0,2016.0,2016.0,2016.0,2016.0,2016.0,2016.0
Doanh thu,Doanh thu,Doanh thu,5.467.195,2.444.694,1.107.884,519.855,270.576,8.275.047,18.085.251,5467195.0,2444694.0,1107884.0,519855.0,270576.0,8275047.0,18085251.0
Chỉ phí,Chỉ phí,Chỉ phí,247.020,313.249,585.055,475.833,287.691,12.525.818,14.434.666,247020.0,313249.0,585055.0,475833.0,287691.0,12525818.0,14434666.0
Lợi nhuận/(lỗ) trước thuế,Lợi nhuận/(lỗ) trước thuế,Lợi nhuận/(lỗ) trước thuế,5.220.175,2.131.445,522.829,44.022,(17.115),(4.250.771),3.650.585,5220175.0,2131445.0,522829.0,44022.0,-17115.0,-4250771.0,3650585.0
Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Khách hàng cá nhân và doanh nghiệpTriệu VND,Đầu tưTriệu VND,Hoạt động liên ngân hàngTriệu VND,Khối quản lý tài sảnTriệu VND,Hoạt động kinh doanh bảo hiểmTriệu VND,Hoạt động chung không phân bổTriệu VND,Tổng cộngTriệu VND,,,,,,,
Tài sản,Tại ngày 31 tháng 12 năm 2015 > Tài sản,Tài sản,122.008.388,47.721.041,28.428.691,2.202.717,-,20.681.156,221.041.993,122008388.0,47721041.0,28428691.0,2202717.0,,20681156.0,221041993.0
Nợ phải trả,Tại ngày 31 tháng 12 năm 2015 > Nợ phải trả,Nợ phải trả,185.201.860,2.000.000,7.173.104,1.025.062,-,2.458.916,197.858.942,185201860.0,2000000.0,7173104.0,1025062.0,,2458916.0,197858942.0
Tài sản cố định – thuần,Tại ngày 31 tháng 12 năm 2015 > Tài sản cố định – thuần,Tài sản cố định – thuần,-,-,-,2.200,-,1.929.489,1.931.689,,,,2200.0,,1929489.0,1931689.0
2015,Tại ngày 31 tháng 12 năm 2015 > 2015,2015,2015,2015,2015,2015,2015,2015,2015,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0
Doanh thu,Tại ngày 31 tháng 12 năm 2015 > Doanh thu,Doanh thu,9.460.818,4.138.993,278.998,366.299,-,1.816.513,16.061.621,9460818.0,4138993.0,278998.0,366299.0,,1816513.0,16061621.0
Chỉ phí,Tại ngày 31 tháng 12 năm 2015 > Chỉ phí,Chỉ phí,7.318.795,857.028,283.078,356.726,-,4.025.323,12.840.950,7318795.0,857028.0,283078.0,356726.0,,4025323.0,12840950.0
Lợi nhuận/(lỗ) trước thuế,Tại ngày 31 tháng 12 năm 2015 > Lợi nhuận/(lỗ) trước thuế,Lợi nhuận/(lỗ) trước thuế,2.142.023,3.281.965,(4.080),9.573,-,(2.208.810),3.220.671,2142023.0,3281965.0,-4080.0,9573.0,,-2208810.0,3220671.0
