row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2016,Miền BắcTriệu VND > Ngày 31 tháng 12 năm 2016,Miền TrungTriệu VND > Ngày 31 tháng 12 năm 2016,Miền NamTriệu VND > Ngày 31 tháng 12 năm 2016,Nước ngoàiTriệu VND > Ngày 31 tháng 12 năm 2016,Tổng cộngTriệu VND > Ngày 31 tháng 12 năm 2016,numeric__Miền BắcTriệu VND > Ngày 31 tháng 12 năm 2016,numeric__Miền TrungTriệu VND > Ngày 31 tháng 12 năm 2016,numeric__Miền NamTriệu VND > Ngày 31 tháng 12 năm 2016,numeric__Nước ngoàiTriệu VND > Ngày 31 tháng 12 năm 2016,numeric__Tổng cộngTriệu VND > Ngày 31 tháng 12 năm 2016
Tài sản,Tài sản,Tài sản,185.330.754,16.159.939,51.037.528,3.730.279,256.258.500,185330754.0,16159939.0,51037528.0,3730279.0,256258500.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,160.752.310,15.818.111,49.421.248,3.678.385,229.670.054,160752310.0,15818111.0,49421248.0,3678385.0,229670054.0
Tài sản cố định - thuần,Tài sản cố định - thuần,Tài sản cố định - thuần,2.097.785,87.299,243.535,29.225,2.457.844,2097785.0,87299.0,243535.0,29225.0,2457844.0
2016,2016,2016,2016,2016,2016,2016,2016,2016.0,2016.0,2016.0,2016.0,2016.0
Doanh thu,Doanh thu,Doanh thu,9.369.652,1.976.536,6.450.438,288.625,18.085.251,9369652.0,1976536.0,6450438.0,288625.0,18085251.0
Chi phí,Chi phí,Chi phí,7.144.931,1.762.029,5.269.095,258.611,14.434.666,7144931.0,1762029.0,5269095.0,258611.0,14434666.0
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,2.224.721,214.507,1.181.343,30.014,3.650.585,2224721.0,214507.0,1181343.0,30014.0,3650585.0
,,,Miền BắcTriệu VND,Miền TrungTriệu VND,Miền NamTriệu VND,Nước ngoàiTriệu VND,Tổng cộngTriệu VND,,,,,
Ngày 31 tháng 12 năm 2015,Ngày 31 tháng 12 năm 2015,Ngày 31 tháng 12 năm 2015,Ngày 31 tháng 12 năm 2015,Ngày 31 tháng 12 năm 2015,Ngày 31 tháng 12 năm 2015,Ngày 31 tháng 12 năm 2015,Ngày 31 tháng 12 năm 2015,,,,,
Tài sản,Ngày 31 tháng 12 năm 2015 > Tài sản,Tài sản,159.993.011,11.642.655,45.962.472,3.443.855,221.041.993,159993011.0,11642655.0,45962472.0,3443855.0,221041993.0
Nợ phải trả,Ngày 31 tháng 12 năm 2015 > Nợ phải trả,Nợ phải trả,139.791.213,11.542.763,43.118.652,3.406.314,197.858.942,139791213.0,11542763.0,43118652.0,3406314.0,197858942.0
Tài sản cố định - thuần,Ngày 31 tháng 12 năm 2015 > Tài sản cố định - thuần,Tài sản cố định - thuần,1.646.611,65.452,192.905,26.721,1.931.689,1646611.0,65452.0,192905.0,26721.0,1931689.0
2015,Ngày 31 tháng 12 năm 2015 > 2015,2015,2015,2015,2015,2015,2015,2015.0,2015.0,2015.0,2015.0,2015.0
Doanh thu,Ngày 31 tháng 12 năm 2015 > Doanh thu,Doanh thu,8.877.886,1.459.155,5.516.080,208.500,16.061.621,8877886.0,1459155.0,5516080.0,208500.0,16061621.0
Chi phí,Ngày 31 tháng 12 năm 2015 > Chi phí,Chi phí,6.312.729,1.324.200,5.019.435,184.586,12.840.950,6312729.0,1324200.0,5019435.0,184586.0,12840950.0
Lợi nhuận trước thuế,Ngày 31 tháng 12 năm 2015 > Lợi nhuận trước thuế,Lợi nhuận trước thuế,2.565.157,134.955,496.645,23.914,3.220.671,2565157.0,134955.0,496645.0,23914.0,3220671.0
