row_label_raw,row_label_full,col_0,Tỷ lệnấm giữ%,Giá gốc của các khoản đầu tưTriệu VND,Giá trị thuần theo phương phápvốn chủ sở hữuTriệu VND,numeric__Tỷ lệnấm giữ%,numeric__Giá gốc của các khoản đầu tưTriệu VND,numeric__Giá trị thuần theo phương phápvốn chủ sở hữuTriệu VND
Công ty Cổ phần VIETASSET,Công ty Cổ phần VIETASSET,Công ty Cổ phần VIETASSET,"45,00%",25.000,25.000,0.45,25000.0,25000.0
Công ty Cổ phần Long Thuận Lộc,Công ty Cổ phần Long Thuận Lộc,Công ty Cổ phần Long Thuận Lộc,"44,39%",65.675,68.461,0.4439,65675.0,68461.0
Công ty Cổ phần Đầu tư MIC,Công ty Cổ phần Đầu tư MIC,Công ty Cổ phần Đầu tư MIC,"47,40%",15.300,15.300,0.474,15300.0,15300.0
,,,,105.975,108.761,,105975.0,108761.0
