row_label_raw,row_label_full,col_0,2016,2015 > Trình bày lại,2015 > Như đã trìnhbảy trước đây,numeric__2016,numeric__2015 > Trình bày lại,numeric__2015 > Như đã trìnhbảy trước đây
,,,VND,VND,VND,,,
Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,1.706,1.786 (*),1.902,1706.0,,1902.0
