row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2016Triệu VND,31/12/2015Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__31/12/2016Triệu VND,numeric__31/12/2015Triệu VND
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮUNỘ PHẢI TRẢ,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và Ngân hàng Nhà nước,,-,1.411.502,,,,1411502.0
II,B > II,II,Tiền gửi và vay các TCTD khác,18,24.712.976,7.509.486,,18.0,24712976.0,7509486.0
1,B > 1,1,Tiền gửi của các TCTD khác,,12.836.651,3.483.599,,,12836651.0,3483599.0
2,B > 2,2,Vay các TCTD khác,,11.876.325,4.025.887,,,11876325.0,4025887.0
III,B > III,III,Tiền gửi của khách hàng,19,194.812.397,181.565.384,,19.0,194812397.0,181565384.0
V,B > V,V,"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",20,258.170,317.958,,20.0,258170.0,317958.0
VI,B > VI,VI,Phát hành giấy tờ có giá,21,2.366.953,2.450.058,,21.0,2366953.0,2450058.0
VII,B > VII,VII,Các khoản nợ khác,22,7.519.558,4.604.554,,22.0,7519558.0,4604554.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,2.345.611,1.786.044,,,2345611.0,1786044.0
3,B > 3,3,Các khoản phải trả và công nợ khác,,5.173.947,2.818.510,,,5173947.0,2818510.0
,,,TỔNG NỘ PHẢI TRẢ,,229.670.054,197.858.942,,,229670054.0,197858942.0
,,,VỐN CHỦ SỞ HỮU,,,,,,,
VIII,B > VIII,VIII,Vốn chủ sở hữu,23,26.588.446,23.183.051,,23.0,26588446.0,23183051.0
1,B > 1,1,Vốn của TCTD,,17.955.606,16.718.524,,,17955606.0,16718524.0
a,B > a,a,Vốn điều lệ,,17.127.409,16.000.000,,,17127409.0,16000000.0
c,B > c,c,Thặng dư vốn cổ phần,,828.197,718.524,,,828197.0,718524.0
2,B > 2,2,Quỹ của TCTD,,2.697.000,2.241.691,,,2697000.0,2241691.0
5,B > 5,5,Lợi nhuận chưa phân phối,,4.699.337,3.633.134,,,4699337.0,3633134.0
6,B > 6,6,Lợi ích của cổ đông không kiểm soát,,1.236.503,589.702,,,1236503.0,589702.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,26.588.446,23.183.051,,,26588446.0,23183051.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,256.258.500,221.041.993,,,256258500.0,221041993.0
