row_label_raw,row_label_full,col_0,Quyền sử dụng đấtTriệu VND,Phần mềm máy vi tínhTriệu VND,Các tài sản vô hình khácTriệu VND,Tổng cộngTriệu VND,numeric__Quyền sử dụng đấtTriệu VND,numeric__Phần mềm máy vi tínhTriệu VND,numeric__Các tài sản vô hình khácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư tại ngày 1 tháng 1 năm 2016,Nguyên giá > Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,933.908,363.495,277.311,1.574.714,933908.0,363495.0,277311.0,1574714.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,13.980,75.806,2.677,92.463,13980.0,75806.0,2677.0,92463.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(6.662),-,(6.662),,-6662.0,,-6662.0
Tăng do mua Tổng Công Ty Cổ phần Bảo hiểm Quản đội,Nguyên giá > Tăng do mua Tổng Công Ty Cổ phần Bảo hiểm Quản đội,Tăng do mua Tổng Công Ty Cổ phần Bảo hiểm Quản đội,17.052,1.902,-,18.954,17052.0,1902.0,,18954.0
Tăng do sáp nhập SDFC,Nguyên giá > Tăng do sáp nhập SDFC,Tăng do sáp nhập SDFC,-,2.077,-,2.077,,2077.0,,2077.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,-,(87),(277.311),(277.398),,-87.0,-277311.0,-277398.0
Số dư tại ngày 31 tháng 12 năm 2016,Nguyên giá > Số dư tại ngày 31 tháng 12 năm 2016,Số dư tại ngày 31 tháng 12 năm 2016,964.940,436.531,2.677,1.404.148,964940.0,436531.0,2677.0,1404148.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư tại ngày 1 tháng 1 năm 2016,Giá trị hao mòn lũy kế > Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,87.506,286.604,-,374.110,87506.0,286604.0,,374110.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,17.717,71.448,193,89.358,17717.0,71448.0,193.0,89358.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(6.662),-,(6.662),,-6662.0,,-6662.0
Tăng do mua Tổng Công Ty Cổ phần Bảo hiểm Quản đội,Giá trị hao mòn lũy kế > Tăng do mua Tổng Công Ty Cổ phần Bảo hiểm Quản đội,Tăng do mua Tổng Công Ty Cổ phần Bảo hiểm Quản đội,-,1.887,-,1.887,,1887.0,,1887.0
Tăng do sáp nhập SDFC,Giá trị hao mòn lũy kế > Tăng do sáp nhập SDFC,Tăng do sáp nhập SDFC,-,1.912,-,1.912,,1912.0,,1912.0
Giảm khác,Giá trị hao mòn lũy kế > Giảm khác,Giảm khác,-,(87),-,(87),,-87.0,,-87.0
Số dư tại ngày 31 tháng 12 năm 2016,Giá trị hao mòn lũy kế > Số dư tại ngày 31 tháng 12 năm 2016,Số dư tại ngày 31 tháng 12 năm 2016,105.223,355.102,193,460.518,105223.0,355102.0,193.0,460518.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư tại ngày 1 tháng 1 năm 2016,Giá trị còn lại > Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,846.402,76.891,277.311,1.200.604,846402.0,76891.0,277311.0,1200604.0
Số dư tại ngày 31 tháng 12 năm 2016,Giá trị còn lại > Số dư tại ngày 31 tháng 12 năm 2016,Số dư tại ngày 31 tháng 12 năm 2016,859.717,81.429,2.484,943.630,859717.0,81429.0,2484.0,943630.0
