row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2016,Cho vay khách hàng -gộpTriệu VND,Tiền gửi của khách hàngTriệu VND,Nợ tiềm tàng và các cam kết tin dụngTriệu VND,Công cụ tài chínhphải sinhTriệu VND,Đầu tư chứng khoán -gộpTriệu VND,numeric__Cho vay khách hàng -gộpTriệu VND,numeric__Tiền gửi của khách hàngTriệu VND,numeric__Nợ tiềm tàng và các cam kết tin dụngTriệu VND,numeric__Công cụ tài chínhphải sinhTriệu VND,numeric__Đầu tư chứng khoán -gộpTriệu VND
Trong nước,Trong nước,Trong nước,147.928.256,194.027.056,74.161.541,17.310.858,55.967.540,147928256.0,194027056.0,74161541.0,17310858.0,55967540.0
Nước ngoài,Nước ngoài,Nước ngoài,2.809.446,785.341,-,-,-,2809446.0,785341.0,,,
,,,150.737.702,194.812.397,74.161.541,17.310.858,55.967.540,150737702.0,194812397.0,74161541.0,17310858.0,55967540.0
Ngày 31 tháng 12 năm 2015,Ngày 31 tháng 12 năm 2015,Ngày 31 tháng 12 năm 2015,Cho vay khách hàng -gộpTriệu VND,Tiền gửi của khách hàngTriệu VND,Nợ tiềm tàng và các cam kết tin dụngTriệu VND,Công cụ tài chínhphải sinhTriệu VND,Đầu tư chứng khoán -gộpTriệu VND,,,,,
Trong nước,Ngày 31 tháng 12 năm 2015 > Trong nước,Trong nước,118.720.685,181.024.833,70.423.537,12.865.066,51.197.471,118720685.0,181024833.0,70423537.0,12865066.0,51197471.0
Nước ngoài,Ngày 31 tháng 12 năm 2015 > Nước ngoài,Nước ngoài,2.627.945,540.551,-,-,-,2627945.0,540551.0,,,
,,,121.348.630,181.565.384,70.423.537,12.865.066,51.197.471,121348630.0,181565384.0,70423537.0,12865066.0,51197471.0
