row_label_raw,row_label_full,col_0,Quyên sử dụng đất,Phản mềm máy tính,Tổng cộng,numeric__Quyên sử dụng đất,numeric__Phản mềm máy tính,numeric__Tổng cộng
,,,Triêu VND,Triêu VND,Triêu VND,,,
Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,,,
Số dư đầu năm (Trình bày lại),Nguyên giá TSCĐ vô hình > Số dư đầu năm (Trình bày lại),Số dư đầu năm (Trình bày lại),3.973.343,1.311.347,5.284.690,3973343.0,1311347.0,5284690.0
Số dư của LVB tại thời điểm bắt đầu hợp nhất,Nguyên giá TSCĐ vô hình > Số dư của LVB tại thời điểm bắt đầu hợp nhất,Số dư của LVB tại thời điểm bắt đầu hợp nhất,96.469,45.145,141.614,96469.0,45145.0,141614.0
Mua trong năm,Nguyên giá TSCĐ vô hình > Mua trong năm,Mua trong năm,50.532,53.383,103.915,50532.0,53383.0,103915.0
Tăng khác,Nguyên giá TSCĐ vô hình > Tăng khác,Tăng khác,6.074,20.111,26.185,6074.0,20111.0,26185.0
"Thanh lý, nhượng bán","Nguyên giá TSCĐ vô hình > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(3.100),(176),(3.276),-3100.0,-176.0,-3276.0
Số dư cuối năm,Nguyên giá TSCĐ vô hình > Số dư cuối năm,Số dư cuối năm,4.123.318,1.429.810,5.553.128,4123318.0,1429810.0,5553128.0
Giá trị hao mòn lũy kê,Giá trị hao mòn lũy kê,Giá trị hao mòn lũy kê,Giá trị hao mòn lũy kê,Giá trị hao mòn lũy kê,Giá trị hao mòn lũy kê,,,
Số dư đầu năm (Trình bày lại),Giá trị hao mòn lũy kê > Số dư đầu năm (Trình bày lại),Số dư đầu năm (Trình bày lại),230.784,704.590,935.374,230784.0,704590.0,935374.0
Số dư của LVB tại thời điểm bắt đầu hợp nhất,Giá trị hao mòn lũy kê > Số dư của LVB tại thời điểm bắt đầu hợp nhất,Số dư của LVB tại thời điểm bắt đầu hợp nhất,-,20.422,20.422,,20422.0,20422.0
Khẩu hao trong năm,Giá trị hao mòn lũy kê > Khẩu hao trong năm,Khẩu hao trong năm,27.888,159.631,187.519,27888.0,159631.0,187519.0
Tăng khác,Giá trị hao mòn lũy kê > Tăng khác,Tăng khác,1.938,8.808,10.746,1938.0,8808.0,10746.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kê > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(8),(177),(185),-8.0,-177.0,-185.0
Số dư cuối năm,Giá trị hao mòn lũy kê > Số dư cuối năm,Số dư cuối năm,260.602,893.274,1.153.876,260602.0,893274.0,1153876.0
Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,,,
Số dư đầu năm (Trình bày lại),Giá trị còn lại của TSCĐ vô hình > Số dư đầu năm (Trình bày lại),Số dư đầu năm (Trình bày lại),3.742.559,606.757,4.349.316,3742559.0,606757.0,4349316.0
Số dư cuối năm,Giá trị còn lại của TSCĐ vô hình > Số dư cuối năm,Số dư cuối năm,3.862.716,536.536,4.399.252,3862716.0,536536.0,4399252.0
