row_label_raw,row_label_full,Thời gian quá hạn,Mức trích dự phòng,numeric__Mức trích dự phòng
Từ trên sâu (06) tháng đến dưới một (01) năm,Từ trên sâu (06) tháng đến dưới một (01) năm,Từ trên sâu (06) tháng đến dưới một (01) năm,30%,0.3
Từ một (01) nằm đến dưới hai (02) năm,Từ một (01) nằm đến dưới hai (02) năm,Từ một (01) nằm đến dưới hai (02) năm,50%,0.5
Từ hai (02) nằm đến dưới ba (03) năm,Từ hai (02) nằm đến dưới ba (03) năm,Từ hai (02) nằm đến dưới ba (03) năm,70%,0.7
Từ ba (03) nằm trở lên,Từ ba (03) nằm trở lên,Từ ba (03) nằm trở lên,100%,1.0
