row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Số đầu năm,Số đầu năm_1,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1
,,,Triệu VND,%,Triệu VND,%,,,,
Công ty Nhà nước,Công ty Nhà nước,Công ty Nhà nước,37.071.663,"4,28",44.792.675,"6,19",37071663.0,4.28,44792675.0,6.19
Công ty TNHH trên một thành viên với vốn Nhà nước trên 50%,Công ty TNHH trên một thành viên với vốn Nhà nước trên 50%,Công ty TNHH trên một thành viên với vốn Nhà nước trên 50%,2.720.914,"0,31",2.647.415,"0,37",2720914.0,0.31,2647415.0,0.37
Công ty TNHH khác,Công ty TNHH khác,Công ty TNHH khác,205.165.068,"23,67",162.604.850,"22,47",205165068.0,23.67,162604850.0,22.47
Công ty cổ phần vốn Nhà nước trên 50%,Công ty cổ phần vốn Nhà nước trên 50%,Công ty cổ phần vốn Nhà nước trên 50%,52.708.241,"6,08",50.181.874,"6,93",52708241.0,6.08,50181874.0,6.93
Công ty cổ phần khác,Công ty cổ phần khác,Công ty cổ phần khác,277.492.874,"32,01",246.754.505,"34,10",277492874.0,32.01,246754505.0,34.1
Công ty hợp danh,Công ty hợp danh,Công ty hợp danh,185.968,"0,02",3.934,-,185968.0,0.02,3934.0,
Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,18.491.646,"2,13",14.920.966,"2,06",18491646.0,2.13,14920966.0,2.06
Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,1.435.668,"0,17",1.468.233,"0,20",1435668.0,0.17,1468233.0,0.2
Hộ kinh doanh cá nhân,Hộ kinh doanh cá nhân,Hộ kinh doanh cá nhân,269.328.431,"31,07",199.317.078,"27,54",269328431.0,31.07,199317078.0,27.54
"Đơn vị hành chính sự nghiệp, Đàng, đoàn thể và hiệp hội","Đơn vị hành chính sự nghiệp, Đàng, đoàn thể và hiệp hội","Đơn vị hành chính sự nghiệp, Đàng, đoàn thể và hiệp hội",2.156.242,"0,25",952.945,"0,13",2156242.0,0.25,952945.0,0.13
Khác,Khác,Khác,128.592,"0,01",52.933,"0,01",128592.0,0.01,52933.0,0.01
,,,866.885.307,100,723.697.408,100,866885307.0,100.0,723697408.0,100.0
