row_label_raw,row_label_full,col_0,Vốn điều lệ,Thếng dưvốn cốphân,Cố phiếuquỹ,Quỹdự phòngtài chính,Quỹ dự trữbố sungvốn điều lệ,Quỹđâu tưphát triển,Vốn khác,Quỹ khACThuộc Vớnchủ sở hữu,Chênh lệchtỷ giàhối đoái,Lợi nhuậnchưaphân phối,Lợi ích cốđông khôngkiểm soát,Tổng cộng,numeric__Vốn điều lệ,numeric__Thếng dưvốn cốphân,numeric__Cố phiếuquỹ,numeric__Quỹdự phòngtài chính,numeric__Quỹ dự trữbố sungvốn điều lệ,numeric__Quỹđâu tưphát triển,numeric__Vốn khác,numeric__Quỹ khACThuộc Vớnchủ sở hữu,numeric__Chênh lệchtỷ giàhối đoái,numeric__Lợi nhuậnchưaphân phối,numeric__Lợi ích cốđông khôngkiểm soát,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,34.187.153,30.306,(44),2.239.350,1.124.039,4.059,87.094,9.134,(111.569),4.940.854,1.604.586,44.114.962,34187153.0,30306.0,-44.0,2239350.0,1124039.0,4059.0,87094.0,9134.0,-111569.0,4940854.0,1604586.0,44114962.0
- Lợi nhuận tăng trong năm,- Lợi nhuận tăng trong năm,- Lợi nhuận tăng trong năm,-,-,-,-,-,-,-,-,-,6.786.710,158.876,6.945.586,,,,,,,,,,6786710.0,158876.0,6945586.0
- Chuyển nhượng vốn tại BSL,- Chuyển nhượng vốn tại BSL,- Chuyển nhượng vốn tại BSL,-,-,-,-,-,-,-,-,-,640.627,447.813,1.088.440,,,,,,,,,,640627.0,447813.0,1088440.0
- Ghi nhận LVB là công ty con,- Ghi nhận LVB là công ty con,- Ghi nhận LVB là công ty con,-,-,-,-,49.425,13.787,-,-,-,(63.212),759.939,759.939,,,,,49425.0,13787.0,,,,-63212.0,759939.0,759939.0
- Công ty con trả cổ tức bằng cốphiêu (BSC),- Công ty con trả cổ tức bằng cốphiêu (BSC),- Công ty con trả cổ tức bằng cốphiêu (BSC),-,-,-,-,-,-,65.380,-,-,(65.380),-,-,,,,,,,65380.0,,,-65380.0,,
- Chênh lệch tỷ giá do chuyển đốibảo cáo tài chính,- Chênh lệch tỷ giá do chuyển đốibảo cáo tài chính,- Chênh lệch tỷ giá do chuyển đốibảo cáo tài chính,-,-,-,-,-,-,-,-,178.910,-,85.310,264.220,,,,,,,,,178910.0,,85310.0,264220.0
- Trích quỹ trong năm,- Trích quỹ trong năm,- Trích quỹ trong năm,-,-,-,637.061,342.058,19.672,-,7.823,-,(1.004.399),-,2.215,,,,637061.0,342058.0,19672.0,,7823.0,,-1004399.0,,2215.0
- Điều chính do thay đổi tỷ lệ sởhầu tại công ty con,- Điều chính do thay đổi tỷ lệ sởhầu tại công ty con,- Điều chính do thay đổi tỷ lệ sởhầu tại công ty con,-,-,-,(266),(140),-,-,-,-,(2.437),2.843,-,,,,-266.0,-140.0,,,,,-2437.0,2843.0,
"- Chênh lệch tỷ giá do chuyển đốiBCTC của các đơn vị lên doanh,liên kết","- Chênh lệch tỷ giá do chuyển đốiBCTC của các đơn vị lên doanh,liên kết","- Chênh lệch tỷ giá do chuyển đốiBCTC của các đơn vị lên doanh,liên kết",-,-,-,-,-,-,-,-,(11.054),-,-,(11.054),,,,,,,,,-11054.0,,,-11054.0
- Trích Quỹ khen thưởng phúc lợi,- Trích Quỹ khen thưởng phúc lợi,- Trích Quỹ khen thưởng phúc lợi,-,-,-,-,-,-,-,-,-,(1.662.266),(10.887),(1.673.153),,,,,,,,,,-1662266.0,-10887.0,-1673153.0
- Quyết định trả cổ tức trongnăm,- Quyết định trả cổ tức trongnăm,- Quyết định trả cổ tức trongnăm,-,-,-,-,-,-,-,-,-,(2.393.411),(152.754),(2.546.165),,,,,,,,,,-2393411.0,-152754.0,-2546165.0
- Chênh lệch tỷ giá được thực hiệnkhi thoại vốn khởi BVIM,- Chênh lệch tỷ giá được thực hiệnkhi thoại vốn khởi BVIM,- Chênh lệch tỷ giá được thực hiệnkhi thoại vốn khởi BVIM,-,-,-,-,-,-,-,-,(2.743),-,-,(2.743),,,,,,,,,-2743.0,,,-2743.0
- Sử dụng quỹ trong kỳ,- Sử dụng quỹ trong kỳ,- Sử dụng quỹ trong kỳ,-,-,-,(588),-,-,-,-,-,-,-,(588),,,,-588.0,,,,,,,,-588.0
- Tăng/(Giảm) khác,- Tăng/(Giảm) khác,- Tăng/(Giảm) khác,-,-,44,-,(68),-,-,481,(21),(85.075),(23.010),(107.649),,,44.0,,-68.0,,,481.0,-21.0,-85075.0,-23010.0,-107649.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,34.187.153,30.306,-,2.875.557,1.515.314,37.518,152.474,17.438,53.523,7.092.011,2.872.716,48.834.010,34187153.0,30306.0,,2875557.0,1515314.0,37518.0,152474.0,17438.0,53523.0,7092011.0,2872716.0,48834010.0
