row_label_raw,row_label_full,col_0,Năm 2017 > Miên Bắc,Năm 2017 > Miên Trung và Tây Nguyên,Năm 2017 > Miên Nam,Năm 2017 > Nước ngoài,Năm 2017 > Loại trừ,Năm 2017 > Tổng cộng,numeric__Năm 2017 > Miên Bắc,numeric__Năm 2017 > Miên Trung và Tây Nguyên,numeric__Năm 2017 > Miên Nam,numeric__Năm 2017 > Nước ngoài,numeric__Năm 2017 > Loại trừ,numeric__Năm 2017 > Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,
Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,1.825.534,2.483.773,2.812.112,(12.099),(163.734),6.945.586,1825534.0,2483773.0,2812112.0,-12099.0,-163734.0,6945586.0
Tổng tài sản tại ngày cuối năm,Tổng tài sản tại ngày cuối năm,Tổng tài sản tại ngày cuối năm,690.784.112,193.132.629,302.889.743,38.265.859,(22.788.500),1.202.283.843,690784112.0,193132629.0,302889743.0,38265859.0,-22788500.0,1202283843.0
Tổng nợ phải trả tại ngày cuối năm,Tổng nợ phải trả tại ngày cuối năm,Tổng nợ phải trả tại ngày cuối năm,701.529.674,130.517.028,304.681.619,32.441.322,(15.719.810),1.153.449.833,701529674.0,130517028.0,304681619.0,32441322.0,-15719810.0,1153449833.0
