row_label_raw,row_label_full,col_0,Nguyên giá/Giá hợp lý khighỉ nhận ban đầu,Giá trị khấu hao lũy kê,Giá trị còn lại,numeric__Nguyên giá/Giá hợp lý khighỉ nhận ban đầu,numeric__Giá trị khấu hao lũy kê,numeric__Giá trị còn lại
,,,Triệu VND,Triệu VND,Triệu VND,,,
"TSCĐ vô hình, chiểm tỷ trọng lớn trong tổng tài sản","TSCĐ vô hình, chiểm tỷ trọng lớn trong tổng tài sản","TSCĐ vô hình, chiểm tỷ trọng lớn trong tổng tài sản",4.848.834,843.432,4.005.402,4848834.0,843432.0,4005402.0
Nguyên giá của TSCĐ vô hình khấu hao hết nhưng vấn còn sử dụng,Nguyên giá của TSCĐ vô hình khấu hao hết nhưng vấn còn sử dụng,Nguyên giá của TSCĐ vô hình khấu hao hết nhưng vấn còn sử dụng,330.251,330.251,-,330251.0,330251.0,
Giá trị còn lại của TSCĐ vô hình đang thanh lý,Giá trị còn lại của TSCĐ vô hình đang thanh lý,Giá trị còn lại của TSCĐ vô hình đang thanh lý,143,143,-,143.0,143.0,
