row_label_raw,row_label_full,col_0,Chứng khoán đầu tưsản sàng để bán,Chứng khoán đầu tưsản sàng để bán_1,Chứng khoán đầu tưsản sàng để bán_2,Chứng khoán đầu tưgiữ đến ngày đáo hạn,Chứng khoán đầu tưgiữ đến ngày đáo hạn_1,Tổng cộng,numeric__Chứng khoán đầu tưsản sàng để bán,numeric__Chứng khoán đầu tưsản sàng để bán_1,numeric__Chứng khoán đầu tưsản sàng để bán_2,numeric__Chứng khoán đầu tưgiữ đến ngày đáo hạn,numeric__Chứng khoán đầu tưgiữ đến ngày đáo hạn_1,numeric__Tổng cộng
,,,Dự phònggiảm giá,Dự phòngchung,Dự phòngcụ thể,Dự phòngchung,Dự phòngcụ thể,Tổng cộng,,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,
Số dư đầu năm(Hoàn nhập)/Trích lập(xem Thuyết minh số30.2),Số dư đầu năm(Hoàn nhập)/Trích lập(xem Thuyết minh số30.2),Số dư đầu năm(Hoàn nhập)/Trích lập(xem Thuyết minh số30.2),88.954(47.555),163.83814.167,-,129.508(9.457),30.64854.880,412.94812.035,,16383814167.0,,,3064854880.0,41294812035.0
Tăng khác trong năm,Tăng khác trong năm,Tăng khác trong năm,368,-,-,-,-,368,368.0,,,,,368.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,41.767,178.005,-,120.051,85.528,425.351,41767.0,178005.0,,120051.0,85528.0,425351.0
