row_label_raw,row_label_full,col_0,Năm 2017,Năm 2017_1,Năm 2017_2,Năm 2017_3,Năm 2017_4,Năm 2017_5,Năm 2017_6,numeric__Năm 2017,numeric__Năm 2017_1,numeric__Năm 2017_2,numeric__Năm 2017_3,numeric__Năm 2017_4,numeric__Năm 2017_5,numeric__Năm 2017_6
,,,Ngân hàng,Cho thuê tài chính,Bảo hiểm,Chứng khoán,Khác,Loại trừ,Tổng cộng,,,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,30.860.335,22.186,215.264,100.064,16.898,(259.416),30.955.331,30860335.0,22186.0,215264.0,100064.0,16898.0,-259416.0,30955331.0
- Từ các giao dịch với khách hàng bên ngoài,- Từ các giao dịch với khách hàng bên ngoài,- Từ các giao dịch với khách hàng bên ngoài,30.862.637,23.538,56.576,91.201,(78.621),-,30.955.331,30862637.0,23538.0,56576.0,91201.0,-78621.0,,30955331.0
- Từ các giao dịch với các bộ phận khác,- Từ các giao dịch với các bộ phận khác,- Từ các giao dịch với các bộ phận khác,(2.302),(1.352),158.688,8.863,95.519,(259.416),-,-2302.0,-1352.0,158688.0,8863.0,95519.0,-259416.0,
Lãi/(lỗ) thuần từ hoạt động dịch vụ,Lãi/(lỗ) thuần từ hoạt động dịch vụ,Lãi/(lỗ) thuần từ hoạt động dịch vụ,2.546.152,(82),333.416,145.747,2.525,(61.988),2.965.770,2546152.0,-82.0,333416.0,145747.0,2525.0,-61988.0,2965770.0
- Từ các giao dịch với khách hàng bên ngoài,- Từ các giao dịch với khách hàng bên ngoài,- Từ các giao dịch với khách hàng bên ngoài,2.540.765,(51),255.506,167.025,2.525,-,2.965.770,2540765.0,-51.0,255506.0,167025.0,2525.0,,2965770.0
- Từ các giao dịch với các bộ phận khác,- Từ các giao dịch với các bộ phận khác,- Từ các giao dịch với các bộ phận khác,5.387,(31),77.910,(21.278),-,(61.988),-,5387.0,-31.0,77910.0,-21278.0,,-61988.0,
Lãi thuần từ hoạt động kinh doanh vàng và ngoại hồi,Lãi thuần từ hoạt động kinh doanh vàng và ngoại hồi,Lãi thuần từ hoạt động kinh doanh vàng và ngoại hồi,645.750,-,3.646,(13),-,18.745,668.128,645750.0,,3646.0,-13.0,,18745.0,668128.0
Lãi/(lỗ) thuần từ mua bán chứng khoán,Lãi/(lỗ) thuần từ mua bán chứng khoán,Lãi/(lỗ) thuần từ mua bán chứng khoán,701.634,-,(6.968),150.090,-,(31.800),812.956,701634.0,,-6968.0,150090.0,,-31800.0,812956.0
