row_label_raw,row_label_full,Khoản mục,Số đã trình bày trước đây > Triệu VND,Điều chỉnh > Triệu VND,Số trình bày lại > Triệu VND,numeric__Số đã trình bày trước đây > Triệu VND,numeric__Điều chỉnh > Triệu VND,numeric__Số trình bày lại > Triệu VND
BÁNG CẦN ĐỒI KẾ TOÁN HỢP NHẮT,BÁNG CẦN ĐỒI KẾ TOÁN HỢP NHẮT,BÁNG CẦN ĐỒI KẾ TOÁN HỢP NHẮT,BÁNG CẦN ĐỒI KẾ TOÁN HỢP NHẮT,BÁNG CẦN ĐỒI KẾ TOÁN HỢP NHẮT,BÁNG CẦN ĐỒI KẾ TOÁN HỢP NHẮT,,,
Chứng khoán kinh doanh,BÁNG CẦN ĐỒI KẾ TOÁN HỢP NHẮT > Chứng khoán kinh doanh,Chứng khoán kinh doanh,10.016.115,2.845,10.018.960,10016115.0,2845.0,10018960.0
Chứng khoán kinh doanh,BÁNG CẦN ĐỒI KẾ TOÁN HỢP NHẮT > Chứng khoán kinh doanh,Chứng khoán kinh doanh,10.086.026,2.845,10.088.871,10086026.0,2845.0,10088871.0
Cho vay khách hàng,BÁNG CẦN ĐỒI KẾ TOÁN HỢP NHẮT > Cho vay khách hàng,Cho vay khách hàng,713.633.464,(692),713.632.772,713633464.0,-692.0,713632772.0
Dự phòng rủi ro cho vay khách hàng,BÁNG CẦN ĐỒI KẾ TOÁN HỢP NHẮT > Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,(10.063.944),(692),(10.064.636),-10063944.0,-692.0,-10064636.0
"Gớp vốn, đầu tư dài hạn","BÁNG CẦN ĐỒI KẾ TOÁN HỢP NHẮT > Gớp vốn, đầu tư dài hạn","Gớp vốn, đầu tư dài hạn",4.329.801,(1.948),4.327.853,4329801.0,-1948.0,4327853.0
Dự phòng giảm giá đầu tư dài hạn,BÁNG CẦN ĐỒI KẾ TOÁN HỢP NHẮT > Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,(121.785),(1.948),(123.733),-121785.0,-1948.0,-123733.0
Tài sản cố định,BÁNG CẦN ĐỒI KẾ TOÁN HỢP NHẮT > Tài sản cố định,Tài sản cố định,9.721.944,57.556,9.779.500,9721944.0,57556.0,9779500.0
Tài sản cố định hữu hình,BÁNG CẦN ĐỒI KẾ TOÁN HỢP NHẮT > Tài sản cố định hữu hình,Tài sản cố định hữu hình,5.373.497,56.687,5.430.184,5373497.0,56687.0,5430184.0
Nguyên giá tài sản cố định,BÁNG CẦN ĐỒI KẾ TOÁN HỢP NHẮT > Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,9.605.942,52.126,9.658.068,9605942.0,52126.0,9658068.0
Hao môn tài sản cố định,BÁNG CẦN ĐỒI KẾ TOÁN HỢP NHẮT > Hao môn tài sản cố định,Hao môn tài sản cố định,(4.232.445),4.561,(4.227.884),-4232445.0,4561.0,-4227884.0
Tài sản cố định vô hình,BÁNG CẦN ĐỒI KẾ TOÁN HỢP NHẮT > Tài sản cố định vô hình,Tài sản cố định vô hình,4.348.447,869,4.349.316,4348447.0,869.0,4349316.0
Nguyên giá tài sản cố định,BÁNG CẦN ĐỒI KẾ TOÁN HỢP NHẮT > Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,5.283.678,1.012,5.284.690,5283678.0,1012.0,5284690.0
Hao môn tài sản cố định,BÁNG CẦN ĐỒI KẾ TOÁN HỢP NHẮT > Hao môn tài sản cố định,Hao môn tài sản cố định,(935.231),(143),(935.374),-935231.0,-143.0,-935374.0
Tài sản Có khác,BÁNG CẦN ĐỒI KẾ TOÁN HỢP NHẮT > Tài sản Có khác,Tài sản Có khác,18.607.365,(81.276),18.526.089,18607365.0,-81276.0,18526089.0
Các khoản phải thu,BÁNG CẦN ĐỒI KẾ TOÁN HỢP NHẮT > Các khoản phải thu,Các khoản phải thu,5.784.931,(49.414),5.735.517,5784931.0,-49414.0,5735517.0
"Các khoản lãi, phí phải thu","BÁNG CẦN ĐỒI KẾ TOÁN HỢP NHẮT > Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",9.229.160,(32.969),9.196.191,9229160.0,-32969.0,9196191.0
Tài sản có khác,BÁNG CẦN ĐỒI KẾ TOÁN HỢP NHẮT > Tài sản có khác,Tài sản có khác,3.739.195,1.107,3.740.302,3739195.0,1107.0,3740302.0
TỔNG TÀI SẢN,BÁNG CẦN ĐỒI KẾ TOÁN HỢP NHẮT > TỔNG TÀI SẢN,TỔNG TÀI SẢN,1.006.404.150,(23.515),1.006.380.635,1006404150.0,-23515.0,1006380635.0
Các khoản nợ khác,BÁNG CẦN ĐỒI KẾ TOÁN HỢP NHẮT > Các khoản nợ khác,Các khoản nợ khác,22.239.527,5.772,22.245.299,22239527.0,5772.0,22245299.0
"Các khoản lãi, phí phải trả","BÁNG CẦN ĐỒI KẾ TOÁN HỢP NHẮT > Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả",13.397.161,(59),13.397.102,13397161.0,-59.0,13397102.0
Các khoản phải trả và công nợ khác,BÁNG CẦN ĐỒI KẾ TOÁN HỢP NHẮT > Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,8.793.168,5.831,8.798.999,8793168.0,5831.0,8798999.0
TỔNG NỘ PHẢI TRÀ,BÁNG CẦN ĐỒI KẾ TOÁN HỢP NHẮT > TỔNG NỘ PHẢI TRÀ,TỔNG NỘ PHẢI TRÀ,962.259.901,5.772,962.265.673,962259901.0,5772.0,962265673.0
