row_label_raw,row_label_full,Loai tài sản,Thời gian hữu dung ước tính(số năm),numeric__Thời gian hữu dung ước tính(số năm)
"Nhà cửa, vật kiến trúc","Nhà cửa, vật kiến trúc","Nhà cửa, vật kiến trúc",7 - 50,
"Mãy móc, thiết bị","Mãy móc, thiết bị","Mãy móc, thiết bị",3 - 12,
Phương tiện vận tải,Phương tiện vận tải,Phương tiện vận tải,6 - 15,
Tài sản cổ định khác,Tài sản cổ định khác,Tài sản cổ định khác,3 - 7,
"Thiết bị, dụng cụ quản lý","Tài sản cổ định khác > Thiết bị, dụng cụ quản lý","Thiết bị, dụng cụ quản lý",5,5.0
Phân mềm máy tính,Phân mềm máy tính,Phân mềm máy tính,3 - 8,
Tài sản cổ định vô hình khác,Tài sản cổ định vô hình khác,Tài sản cổ định vô hình khác,2 - 20,
