row_label_raw,row_label_full,col_0,Năm nay,Năm trước(Trình bày lai),numeric__Năm nay,numeric__Năm trước(Trình bày lai)
,,,Triệu VND,Triệu VND,,
Tổng lợi nhuận kể toán trước thuế,Tổng lợi nhuận kể toán trước thuế,Tổng lợi nhuận kể toán trước thuế,8.665.177,7.667.603,8665177.0,7667603.0
- Lợi nhuận trước thuế của các công ty con,- Lợi nhuận trước thuế của các công ty con,- Lợi nhuận trước thuế của các công ty con,(681.794),(345.320),-681794.0,-345320.0
- Các khoản điều chỉnh hợp nhất,- Các khoản điều chỉnh hợp nhất,- Các khoản điều chỉnh hợp nhất,181.145,131.833,181145.0,131833.0
Lợi nhuận trước thuế của riêng Ngân hàng,Lợi nhuận trước thuế của riêng Ngân hàng,Lợi nhuận trước thuế của riêng Ngân hàng,8.164.528,7.454.116,8164528.0,7454116.0
- Thu nhập từ cổ tức không chịu thuế,- Thu nhập từ cổ tức không chịu thuế,- Thu nhập từ cổ tức không chịu thuế,(328.820),(356.064),-328820.0,-356064.0
- Khoản lỗ của MHB được trừ khi tính thuế,- Khoản lỗ của MHB được trừ khi tính thuế,- Khoản lỗ của MHB được trừ khi tính thuế,-,-,,
- Các chỉ phí không được khấu trừ,- Khoản lỗ của MHB được trừ khi tính thuế > - Các chỉ phí không được khấu trừ,- Các chỉ phí không được khấu trừ,21.108,4.447,21108.0,4447.0
Thu nhập chịu thuế uốc tính của Ngân hàng,- Khoản lỗ của MHB được trừ khi tính thuế > Thu nhập chịu thuế uốc tính của Ngân hàng,Thu nhập chịu thuế uốc tính của Ngân hàng,7.856.816,7.102.499,7856816.0,7102499.0
- Chi phí thuế TNDN hiện hành uốc tính của Ngân hàng,- Khoản lỗ của MHB được trừ khi tính thuế > - Chi phí thuế TNDN hiện hành uốc tính của Ngân hàng,- Chi phí thuế TNDN hiện hành uốc tính của Ngân hàng,1.571.363,1.420.500,1571363.0,1420500.0
- Chi phí thuế TNDN hiện hành của các công ty con,- Khoản lỗ của MHB được trừ khi tính thuế > - Chi phí thuế TNDN hiện hành của các công ty con,- Chi phí thuế TNDN hiện hành của các công ty con,186.577,67.439,186577.0,67439.0
Chi phí thuế TNDN trong năm của toàn hệ thống,- Khoản lỗ của MHB được trừ khi tính thuế > Chi phí thuế TNDN trong năm của toàn hệ thống,Chi phí thuế TNDN trong năm của toàn hệ thống,1.757.940,1.487.939,1757940.0,1487939.0
Thuế TNDN phải trả đầu năm,- Khoản lỗ của MHB được trừ khi tính thuế > Thuế TNDN phải trả đầu năm,Thuế TNDN phải trả đầu năm,89.592,210.427,89592.0,210427.0
Điều chỉnh theo kết quả kiểm tra của các cơ quan quản lý Nhà nước,- Khoản lỗ của MHB được trừ khi tính thuế > Điều chỉnh theo kết quả kiểm tra của các cơ quan quản lý Nhà nước,Điều chỉnh theo kết quả kiểm tra của các cơ quan quản lý Nhà nước,27.740,(4.221),27740.0,-4221.0
Tăng khác,- Khoản lỗ của MHB được trừ khi tính thuế > Tăng khác,Tăng khác,1.263,-,1263.0,
Tăng từ việc hợp nhất LVB,- Khoản lỗ của MHB được trừ khi tính thuế > Tăng từ việc hợp nhất LVB,Tăng từ việc hợp nhất LVB,102.176,-,102176.0,
Thuế TNDN thực nộp trong năm,- Khoản lỗ của MHB được trừ khi tính thuế > Thuế TNDN thực nộp trong năm,Thuế TNDN thực nộp trong năm,(1.695.638),(1.604.553),-1695638.0,-1604553.0
Thuế TNDN phải trả thuần cuối năm,- Khoản lỗ của MHB được trừ khi tính thuế > Thuế TNDN phải trả thuần cuối năm,Thuế TNDN phải trả thuần cuối năm,283.073,89.592,283073.0,89592.0
