row_label_raw,row_label_full,col_0,Quá hạn,Quá hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Tổng,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Tổng
,,,Trên 3 tháng,Đến 3 tháng,Đến 1 tháng,Từ 1 - 3 tháng,Từ 3 -12 tháng,Từ 1 - 5 năm,Trên 5 năm,Tổng,,,,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,
Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tải sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,8.203.016,-,-,-,-,8.203.016,,,8203016.0,,,,,8203016.0
Tiền gửi tại NHNN,Tải sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,29.418.564,-,-,-,-,29.418.564,,,29418564.0,,,,,29418564.0
Tiền gửi tại các TCTD khác và cho vay các TCTD khác (*),Tải sản > Tiền gửi tại các TCTD khác và cho vay các TCTD khác (*),Tiền gửi tại các TCTD khác và cho vay các TCTD khác (*),-,-,79.842.479,29.066.962,8.101.368,887.877,515.947,118.414.633,,,79842479.0,29066962.0,8101368.0,887877.0,515947.0,118414633.0
Chứng khoán kinh doanh (*),Tải sản > Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,-,-,1.728.806,7.979.448,-,-,9.708.254,,,,1728806.0,7979448.0,,,9708254.0
Công cu tài chính và tài sản tài chính phải sinh khác (*),Tải sản > Công cu tài chính và tài sản tài chính phải sinh khác (*),Công cu tài chính và tài sản tài chính phải sinh khác (*),-,-,193.703,-,-,-,-,193.703,,,193703.0,,,,,193703.0
Cho vay khách hàng (*),Tải sản > Cho vay khách hàng (*),Cho vay khách hàng (*),13.334.404,5.513.569,60.823.672,153.357.388,277.912.303,122.837.481,233.106.490,866.885.307,13334404.0,5513569.0,60823672.0,153357388.0,277912303.0,122837481.0,233106490.0,866885307.0
Chứng khoán đầu tư (*),Tải sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),257.000,-,1.934.000,1.451.920,12.877.222,71.026.324,68.937.110,156.483.576,257000.0,,1934000.0,1451920.0,12877222.0,71026324.0,68937110.0,156483576.0
"Góp vốn, đầu tư dài hạn (*)","Tải sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,-,-,-,-,-,2.662.637,2.662.637,,,,,,,2662637.0,2662637.0
Tải sản cố định,Tải sản > Tải sản cố định,Tải sản cố định,-,-,-,-,-,-,10.348.520,10.348.520,,,,,,,10348520.0,10348520.0
Tải sản Có khác (*),Tải sản > Tải sản Có khác (*),Tải sản Có khác (*),264.944,346.401,2.591.562,4.436.343,9.443.468,3.052.520,2.034.699,22.169.937,264944.0,346401.0,2591562.0,4436343.0,9443468.0,3052520.0,2034699.0,22169937.0
