row_label_raw,row_label_full,Bà Võ Bích Hà,Trường Ban Kiểm soát,numeric__Trường Ban Kiểm soát
Ông Cao Cự Trí,Ông Cao Cự Trí,Ông Cao Cự Trí,Thành viên chuyên trách,
Bà Nguyễn Thị Tâm,Bà Nguyễn Thị Tâm,Bà Nguyễn Thị Tâm,Thành viên chuyên trách,
