row_label_raw,row_label_full,STT,CHÌ TIÊU,Thuyết minh,Số cuối năm,Số đầu năm(Trình bày lại),numeric__CHÌ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
A,A,A,TÀI SẢN,,,,,,,
I.,A > I.,I.,"Tiền mặt, vàng bạc, đá quý",6,8.203.016,7.106.546,,6.0,8203016.0,7106546.0
II.,A > II.,II.,"Tiền gửi tại Ngân hàng Nhà nước (""NHNN"")",7,29.418.564,36.710.770,,7.0,29418564.0,36710770.0
III.,A > III.,III.,Tiền gửi tại các TCTD khác và cho vay các TCTD khác,8,118.355.293,61.865.173,,8.0,118355293.0,61865173.0
1.,A > 1.,1.,Tiền gửi tại TCTD khác,,76.993.463,39.849.011,,,76993463.0,39849011.0
2.,A > 2.,2.,Cho vay các TCTD khác,,41.421.170,22.076.457,,,41421170.0,22076457.0
3.,A > 3.,3.,Dự phòng rủi ro tiền gửi tại các TCTD khác và cho vay các TCTD khác,9,(59.340),(60.295),,9.0,-59340.0,-60295.0
IV.,A > IV.,IV.,Chứng khoán kinh doanh,10,9.613.772,10.018.960,,10.0,9613772.0,10018960.0
1.,A > 1.,1.,Chứng khoán kinh doanh,,9.708.254,10.088.871,,,9708254.0,10088871.0
2.,A > 2.,2.,Dự phòng rủi ro chứng khoán kinh doanh,,(94.482),(69.911),,,-94482.0,-69911.0
V.,A > V.,V.,Các công cụ tài chính phải sinh và các tài sản tài chính khác,11,193.703,-,,11.0,193703.0,
VI.,A > VI.,VI.,Cho vay khách hàng,,855.535.525,713.632.772,,,855535525.0,713632772.0
1.,A > 1.,1.,Cho vay khách hàng,12,866.885.307,723.697.408,,12.0,866885307.0,723697408.0
2.,A > 2.,2.,Dự phòng rủi ro cho vay khách hàng,13,(11.349.782),(10.064.636),,13.0,-11349782.0,-10064636.0
VII.,A > VII.,VII.,Chứng khoán đầu tư,14,146.477.353,144.412.972,,14.0,146477353.0,144412972.0
1.,A > 1.,1.,Chứng khoán đầu tư sẵn sàng để bán,,118.097.616,113.657.155,,,118097616.0,113657155.0
2.,A > 2.,2.,Chứng khoán đầu tư giữ đến ngày đáo hạn,,38.385.960,36.823.521,,,38385960.0,36823521.0
3.,A > 3.,3.,Dự phòng rủi ro chứng khoán đầu tư,,(10.006.223),(6.067.704),,,-10006223.0,-6067704.0
VIII,A > VIII,VIII,"Góp vốn, đầu tư dài hạn",,2.579.505,4.327.853,,,2579505.0,4327853.0
1.,A > 1.,1.,Vốn góp liên doanh,15.1,1.871.695,3.297.900,,151.0,1871695.0,3297900.0
2.,A > 2.,2.,Đầu tư vào công ty liên kết,15.2,537.902,696.220,,152.0,537902.0,696220.0
3.,A > 3.,3.,"Góp vốn, đầu tư dài hạn khác",,253.040,457.466,,,253040.0,457466.0
4.,A > 4.,4.,Dự phòng giảm giá đầu tư dài hạn,,(83.132),(123.733),,,-83132.0,-123733.0
IX.,A > IX.,IX.,Tài sản cố định,16,10.348.520,9.779.500,,16.0,10348520.0,9779500.0
1.,A > 1.,1.,Tài sản cố định hữu hình,16.1,5.949.268,5.430.184,,161.0,5949268.0,5430184.0
a.,A > a.,a.,Nguyên giá tài sản cố định,,10.993.326,9.658.068,,,10993326.0,9658068.0
b.,A > b.,b.,Hao mòn tài sản cố định,,(5.044.058),(4.227.884),,,-5044058.0,-4227884.0
2.,A > 2.,2.,Tài sản cố định vô hình,16.2,4.399.252,4.349.316,,162.0,4399252.0,4349316.0
a.,A > a.,a.,Nguyên giá tài sản cố định,,5.553.128,5.284.690,,,5553128.0,5284690.0
b.,A > b.,b.,Hao mòn tài sản cố định,,(1.153.876),(935.374),,,-1153876.0,-935374.0
X.,A > X.,X.,Tài sản Có khác,17,21.558.592,18.526.089,,17.0,21558592.0,18526089.0
1.,A > 1.,1.,Các khoản phải thu,,8.480.653,5.735.517,,,8480653.0,5735517.0
2.,A > 2.,2.,"Các khoản lãi, phí phải thu",,9.479.856,9.196.191,,,9479856.0,9196191.0
3.,A > 3.,3.,Tài sản thuê thu nhập doanh nghiệp hoãn lại,,36.000,7.467,,,36000.0,7467.0
4.,A > 4.,4.,Tài sản cố khác,,4.173.428,3.740.302,,,4173428.0,3740302.0
5.,A > 5.,5.,Dự phòng rủi ro cho các tài sản Có nội bằng khác,,(611.345),(153.388),,,-611345.0,-153388.0
,,,TỔNG TÀI SẢN,,1.202.283.843,1.006.380.635,,,1202283843.0,1006380635.0
