row_label_raw,row_label_full,Khoản mục,Số đã trình bày trước đây,Điều chỉnh,Số trình bày lại,numeric__Số đã trình bày trước đây,numeric__Điều chỉnh,numeric__Số trình bày lại
,,,Triệu VND,Triệu VND,Triệu VND,,,
BẢO CẢO KẾT QUẢ HOẠT ĐỒNG KINH DOANH HỢP NHẮT,BẢO CẢO KẾT QUẢ HOẠT ĐỒNG KINH DOANH HỢP NHẮT,BẢO CẢO KẾT QUẢ HOẠT ĐỒNG KINH DOANH HỢP NHẮT,BẢO CẢO KẾT QUẢ HOẠT ĐỒNG KINH DOANH HỢP NHẮT,BẢO CẢO KẾT QUẢ HOẠT ĐỒNG KINH DOANH HỢP NHẮT,BẢO CẢO KẾT QUẢ HOẠT ĐỒNG KINH DOANH HỢP NHẮT,,,
Thu nhập lãi và các khoản thu nhập tương tự,BẢO CẢO KẾT QUẢ HOẠT ĐỒNG KINH DOANH HỢP NHẮT > Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,62.600.277,(41.041),62.559.236,62600277.0,-41041.0,62559236.0
Chi phí lãi và các chi phí tương tự,BẢO CẢO KẾT QUẢ HOẠT ĐỒNG KINH DOANH HỢP NHẮT > Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,(39.165.682),59,(39.165.623),-39165682.0,59.0,-39165623.0
Thu nhập lãi thuần,BẢO CẢO KẾT QUẢ HOẠT ĐỒNG KINH DOANH HỢP NHẮT > Thu nhập lãi thuần,Thu nhập lãi thuần,23.434.595,(40.982),23.393.613,23434595.0,-40982.0,23393613.0
Thu nhập từ hoạt động dịch vụ,BẢO CẢO KẾT QUẢ HOẠT ĐỒNG KINH DOANH HỢP NHẮT > Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,4.490.151,3.633,4.493.784,4490151.0,3633.0,4493784.0
Chi phí hoạt động dịch vụ,BẢO CẢO KẾT QUẢ HOẠT ĐỒNG KINH DOANH HỢP NHẮT > Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,(1.981.011),(176),(1.981.187),-1981011.0,-176.0,-1981187.0
Lãi thuần từ hoạt động dịch vụ,BẢO CẢO KẾT QUẢ HOẠT ĐỒNG KINH DOANH HỢP NHẮT > Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,2.509.140,3.457,2.512.597,2509140.0,3457.0,2512597.0
Lãi thuần từ mua bán chứng khoán kinh doanh,BẢO CẢO KẾT QUẢ HOẠT ĐỒNG KINH DOANH HỢP NHẮT > Lãi thuần từ mua bán chứng khoán kinh doanh,Lãi thuần từ mua bán chứng khoán kinh doanh,455.425,2.889,458.314,455425.0,2889.0,458314.0
Thu nhập từ hoạt động khác,BẢO CẢO KẾT QUẢ HOẠT ĐỒNG KINH DOANH HỢP NHẮT > Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,3.785.164,94,3.785.258,3785164.0,94.0,3785258.0
Chi phí từ hoạt động khác,BẢO CẢO KẾT QUẢ HOẠT ĐỒNG KINH DOANH HỢP NHẮT > Chi phí từ hoạt động khác,Chi phí từ hoạt động khác,(1.902.181),(301),(1.902.482),-1902181.0,-301.0,-1902482.0
Lãi thuần từ hoạt động khác,BẢO CẢO KẾT QUẢ HOẠT ĐỒNG KINH DOANH HỢP NHẮT > Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,1.882.983,(207),1.882.776,1882983.0,-207.0,1882776.0
Chi phí nhân viên,BẢO CẢO KẾT QUẢ HOẠT ĐỒNG KINH DOANH HỢP NHẮT > Chi phí nhân viên,Chi phí nhân viên,(7.428.666),4,(7.428.662),-7428666.0,4.0,-7428662.0
Chi phí khấu hao và khấu trú,BẢO CẢO KẾT QUẢ HOẠT ĐỒNG KINH DOANH HỢP NHẮT > Chi phí khấu hao và khấu trú,Chi phí khấu hao và khấu trú,(852.536),(1.606),(854.142),-852536.0,-1606.0,-854142.0
Chi phí hoạt động khác,BẢO CẢO KẾT QUẢ HOẠT ĐỒNG KINH DOANH HỢP NHẮT > Chi phí hoạt động khác,Chi phí hoạt động khác,(5.245.419),(3.871),(5.249.290),-5245419.0,-3871.0,-5249290.0
Tổng chi phí hoạt động,BẢO CẢO KẾT QUẢ HOẠT ĐỒNG KINH DOANH HỢP NHẮT > Tổng chi phí hoạt động,Tổng chi phí hoạt động,(13.526.621),(5.473),(13.532.094),-13526621.0,-5473.0,-13532094.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,BẢO CẢO KẾT QUẢ HOẠT ĐỒNG KINH DOANH HỢP NHẮT > Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,16.907.435,(40.316),16.867.119,16907435.0,-40316.0,16867119.0
Chi phí dự phòng rủi ro tín dụng,BẢO CẢO KẾT QUẢ HOẠT ĐỒNG KINH DOANH HỢP NHẮT > Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(9.198.824),(692),(9.199.516),-9198824.0,-692.0,-9199516.0
Tổng lợi nhuận trước thuế,BẢO CẢO KẾT QUẢ HOẠT ĐỒNG KINH DOANH HỢP NHẮT > Tổng lợi nhuận trước thuế,Tổng lợi nhuận trước thuế,7.708.611,(41.008),7.667.603,7708611.0,-41008.0,7667603.0
Chi phí thuế TNDN hiện hành,BẢO CẢO KẾT QUẢ HOẠT ĐỒNG KINH DOANH HỢP NHẮT > Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,(1.496.525),8.586,(1.487.939),-1496525.0,8586.0,-1487939.0
Chi phí thuế TNDN,BẢO CẢO KẾT QUẢ HOẠT ĐỒNG KINH DOANH HỢP NHẮT > Chi phí thuế TNDN,Chi phí thuế TNDN,(1.479.755),8.586,(1.471.169),-1479755.0,8586.0,-1471169.0
Lợi nhuận sau thuế,BẢO CẢO KẾT QUẢ HOẠT ĐỒNG KINH DOANH HỢP NHẮT > Lợi nhuận sau thuế,Lợi nhuận sau thuế,6.228.856,(32.422),6.196.434,6228856.0,-32422.0,6196434.0
Phân bố (lãi) cho cổ đông không kiểm soát,BẢO CẢO KẾT QUẢ HOẠT ĐỒNG KINH DOANH HỢP NHẮT > Phân bố (lãi) cho cổ đông không kiểm soát,Phân bố (lãi) cho cổ đông không kiểm soát,(91.305),(834),(92.139),-91305.0,-834.0,-92139.0
Lợi nhuận thuần của cổ đông của Ngân hàng,BẢO CẢO KẾT QUẢ HOẠT ĐỒNG KINH DOANH HỢP NHẮT > Lợi nhuận thuần của cổ đông của Ngân hàng,Lợi nhuận thuần của cổ đông của Ngân hàng,6.137.551,(33.256),6.104.295,6137551.0,-33256.0,6104295.0
