row_label_raw,row_label_full,col_0,Tổng dư nợ cho vay,Tổng tiên gửi,Các cam kết tín dụng,CCTC phải sinh (Tổng giá trị giao dịch theo hợp đồng),Kinh doanh và đầu tư chứng khoán (Chênh lệch DN-DC),numeric__Tổng dư nợ cho vay,numeric__Tổng tiên gửi,numeric__Các cam kết tín dụng,numeric__CCTC phải sinh (Tổng giá trị giao dịch theo hợp đồng),numeric__Kinh doanh và đầu tư chứng khoán (Chênh lệch DN-DC)
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,
Trong nước,Trong nước,Trong nước,881.239.083,925.193.671,193.725.280,150.122,165.760.893,881239083.0,925193671.0,193725280.0,150122.0,165760893.0
Nước ngoài,Nước ngoài,Nước ngoài,27.067.394,26.616.361,2.207.803,43.581,430.937,27067394.0,26616361.0,2207803.0,43581.0,430937.0
