row_label_raw,row_label_full,STT,Tên công ty,Quyết định thành lập/Giấy phép hoạt động số,Lĩnh vực hoạt động,Tỷ lệ % sở hữu của Ngân hàng,numeric__Tên công ty,numeric__Quyết định thành lập/Giấy phép hoạt động số,numeric__Lĩnh vực hoạt động,numeric__Tỷ lệ % sở hữu của Ngân hàng
1,1,1,"Công ty Cổ phầnCho thuê máy bay Việt Nam (""VALC"")",0102384108 ngày 03 tháng 11 năm 2016 của Sở Kế hoạch và Đầu tư thành phố Hà Nội,Mua và cho thuê máy bay,"18,52%",,,,0.1852
2,2,2,"Công ty TNHH Lương thực Campuchia - Việt Nam (""Cavifood"")","Inv.0810M/2010 ngày 21 tháng 4 năm 2010, cấp bởi Bộ Thương mại tại Phnom Penh, Campuchia.",Kinh doanh lương thực và sản phẩm nông nghiệp,"33,00%",,,,0.33
3,3,3,"Công ty TNHH Phát triển Nông thôn Cam Việt (""CRDC"")","Co.0873E/2011 ngày 11 tháng 4 năm 2011, cấp bởi Bộ Thương mại tại Phnom Penh, Campuchia.",Nông nghiệp,"35,00%",,,,0.35
