row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,"Thiết bị, dụng cụquản lý",TSCĐ khác,Tổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,"numeric__Thiết bị, dụng cụquản lý",numeric__TSCĐ khác,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,
Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,,,,,,
Số dư đầu năm (Trình bày lại),Nguyên giá TSCĐ hữu hình > Số dư đầu năm (Trình bày lại),Số dư đầu năm (Trình bày lại),4.704.026,3.551.343,1.199.464,119.700,83.535,9.658.068,4704026.0,3551343.0,1199464.0,119700.0,83535.0,9658068.0
Số dư của LVB tại thời điểm bắt đầuhợp nhất,Nguyên giá TSCĐ hữu hình > Số dư của LVB tại thời điểm bắt đầuhợp nhất,Số dư của LVB tại thời điểm bắt đầuhợp nhất,242.078,92.499,37.433,10.494,1.180,383.684,242078.0,92499.0,37433.0,10494.0,1180.0,383684.0
Mua trong năm,Nguyên giá TSCĐ hữu hình > Mua trong năm,Mua trong năm,6.285,158.666,13.169,4.414,13.847,196.381,6285.0,158666.0,13169.0,4414.0,13847.0,196381.0
Đầu tư XDCB hoàn thành,Nguyên giá TSCĐ hữu hình > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,603.430,100.835,28.930,17.575,1.853,752.623,603430.0,100835.0,28930.0,17575.0,1853.0,752623.0
"Thanh lý, nhượng bán","Nguyên giá TSCĐ hữu hình > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(12.322),(35.181),(33.483),(3.963),(2.760),(87.709),-12322.0,-35181.0,-33483.0,-3963.0,-2760.0,-87709.0
Tăng/(Giám) khác,Nguyên giá TSCĐ hữu hình > Tăng/(Giám) khác,Tăng/(Giám) khác,64.873,22.749,2.592,(598),663,90.279,64873.0,22749.0,2592.0,-598.0,663.0,90279.0
Số dư cuối năm,Nguyên giá TSCĐ hữu hình > Số dư cuối năm,Số dư cuối năm,5.608.370,3.890.911,1.248.105,147.622,98.318,10.993.326,5608370.0,3890911.0,1248105.0,147622.0,98318.0,10993326.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm (Trình bày lại),Giá trị hao mòn lũy kế > Số dư đầu năm (Trình bày lại),Số dư đầu năm (Trình bày lại),1.090.542,2.343.148,668.788,78.158,47.248,4.227.884,1090542.0,2343148.0,668788.0,78158.0,47248.0,4227884.0
Số dư của LVB tại thời điểm bắt đầuhợp nhất,Giá trị hao mòn lũy kế > Số dư của LVB tại thời điểm bắt đầuhợp nhất,Số dư của LVB tại thời điểm bắt đầuhợp nhất,62.725,43.309,21.297,5.078,383,132.792,62725.0,43309.0,21297.0,5078.0,383.0,132792.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,248.303,346.767,107.228,22.768,18.646,743.712,248303.0,346767.0,107228.0,22768.0,18646.0,743712.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(7.257),(34.073),(33.078),(3.816),(2.361),(80.585),-7257.0,-34073.0,-33078.0,-3816.0,-2361.0,-80585.0
Tăng/(Giám) khác,Giá trị hao mòn lũy kế > Tăng/(Giám) khác,Tăng/(Giám) khác,2.467,21.693,1.962,(5.028),(839),20.255,2467.0,21693.0,1962.0,-5028.0,-839.0,20255.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.396.780,2.720.844,766.197,97.160,63.077,5.044.058,1396780.0,2720844.0,766197.0,97160.0,63077.0,5044058.0
Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,,,,,,
Số dư đầu năm (Trình bày lại),Giá trị còn lại của TSCĐ hữu hình > Số dư đầu năm (Trình bày lại),Số dư đầu năm (Trình bày lại),3.613.484,1.208.195,530.676,41.542,36.287,5.430.184,3613484.0,1208195.0,530676.0,41542.0,36287.0,5430184.0
Số dư cuối năm,Giá trị còn lại của TSCĐ hữu hình > Số dư cuối năm,Số dư cuối năm,4.211.590,1.170.067,481.908,50.462,35.241,5.949.268,4211590.0,1170067.0,481908.0,50462.0,35241.0,5949268.0
