row_label_raw,row_label_full,NGUỒN VỐN,Mã số,Thuyết minh,31/12/2021VND,01/01/2021VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2021VND,numeric__01/01/2021VND
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,300,,292.125.633.044,220.213.373.118,300.0,,292125633044.0,220213373118.0
Nợ ngắn hạn,Nợ ngắn hạn,Nợ ngắn hạn,310,,292.125.633.044,217.668.373.118,310.0,,292125633044.0,217668373118.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,311,,1.463.288.994,254.283.777,311.0,,1463288994.0,254283777.0
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,312,,207.289.238,11.189.845,312.0,,207289238.0,11189845.0
Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,313,15,10.335.823.976,1.115.534.635,313.0,15.0,10335823976.0,1115534635.0
Phải trả người lao động,Phải trả người lao động,Phải trả người lao động,314,,2.215.311.682,1.288.210.249,314.0,,2215311682.0,1288210249.0
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,315,14,1.339.909.117,5.726.475.169,315.0,14.0,1339909117.0,5726475169.0
Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,318,,126.345.767,126.283.994,318.0,,126345767.0,126283994.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,319,16,107.094.562.820,111.225.832.161,319.0,16.0,107094562820.0,111225832161.0
Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,320,17,164.343.717.448,92.535.209.286,320.0,17.0,164343717448.0,92535209286.0
"Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi",322,,4.999.384.002,5.385.354.002,322.0,,4999384002.0,5385354002.0
Nợ dài hạn,Nợ dài hạn,Nợ dài hạn,330,,-,2.545.000.000,330.0,,,2545000000.0
Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,338,17,-,2.545.000.000,338.0,17.0,,2545000000.0
VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,400,,3.105.954.297.294,2.910.706.458.537,400.0,,3105954297294.0,2910706458537.0
Vốn chủ sở hữu,Vốn chủ sở hữu,Vốn chủ sở hữu,410,18,3.105.954.297.294,2.910.706.458.537,410.0,18.0,3105954297294.0,2910706458537.0
Vốn góp của chủ sở hữu,Vốn góp của chủ sở hữu,Vốn góp của chủ sở hữu,411,,2.627.302.470.000,2.547.302.470.000,411.0,,2627302470000.0,2547302470000.0
- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,2.627.302.470.000,2.547.302.470.000,,,2627302470000.0,2547302470000.0
Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,412,,70.045.649.714,70.045.649.714,412.0,,70045649714.0,70045649714.0
Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,418,,886.852.413,886.852.413,418.0,,886852413.0,886852413.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,,407.719.325.167,292.471.486.410,421.0,,407719325167.0,292471486410.0
- LNST chưa phân phối lũy kế đến cuối năm trước,- LNST chưa phân phối lũy kế đến cuối năm trước,- LNST chưa phân phối lũy kế đến cuối năm trước,421a,,292.824.658.664,280.923.467.654,,,292824658664.0,280923467654.0
- LNST chưa phân phối năm nay,- LNST chưa phân phối năm nay,- LNST chưa phân phối năm nay,421b,,114.894.666.503,11.548.018.756,,,114894666503.0,11548018756.0
TỔNG NGUỒN VỐN (440 = 300 + 400),TỔNG NGUỒN VỐN (440 = 300 + 400),TỔNG NGUỒN VỐN (440 = 300 + 400),440,,3.398.079.930.338,3.130.919.831.655,440.0,,3398079930338.0,3130919831655.0
