row_label_raw,row_label_full,STT Công ty > 8,STT Công ty > Công ty TNHH Xuất nhập khẩu và Thương mại F.I.T Việt Nam,Năm 2021VND,Năm 2020VND,numeric__STT Công ty > Công ty TNHH Xuất nhập khẩu và Thương mại F.I.T Việt Nam,numeric__Năm 2021VND,numeric__Năm 2020VND
8,8,8,- Doanh thu cung cấp dịch vụ,535.524.000,535.524.000,,535524000.0,535524000.0
8,8,8,- Tiền thu từ cung cấp dịch vụ,589.076.400,589.076.400,,589076400.0,589076400.0
8,8,8,- Lợi nhuận từ hợp đồng hợp tác đầu tư,2.445.158.904,6.373.060.541,,2445158904.0,6373060541.0
8,8,8,- Thu lợi nhuận từ hợp đồng hợp tác đầu tư,4.307.953.425,4.414.003.677,,4307953425.0,4414003677.0
8,8,8,- Chuyển tiền hợp tác đầu tư,272.970.000.000,333.980.000.000,,272970000000.0,333980000000.0
8,8,8,- Thu hồi tiền hợp tác đầu tư,372.970.000.000,211.145.000.000,,372970000000.0,211145000000.0
9,9,9,Công ty Cổ phần Đầu tư BDS F.I.T,,,,,
9,9 > 9,9,- Doanh thu cung cấp dịch vụ,535.524.000,535.524.000,,535524000.0,535524000.0
9,9 > 9,9,- Tiền thu từ cung cấp dịch vụ,589.076.400,589.076.400,,589076400.0,589076400.0
9,9 > 9,9,- Lợi nhuận từ hợp đồng hợp tác đầu tư,11.665.654.945,13.449.820.180,,11665654945.0,13449820180.0
9,9 > 9,9,- Thu lợi nhuận từ hợp đồng hợp tác đầu tư,14.712.703.388,8.140.095.821,,14712703388.0,8140095821.0
9,9 > 9,9,- Chuyển tiền hợp tác đầu tư,147.730.000.000,307.565.000.000,,147730000000.0,307565000000.0
9,9 > 9,9,- Thu hồi tiền hợp tác đầu tư,299.213.000.000,124.809.000.000,,299213000000.0,124809000000.0
10,10,10,Công ty CP Vật tư Kỹ thuật Nông nghiệp Cần Thơ (TSC),,,,,
10,10 > 10,10,- Doanh thu cung cấp dịch vụ,981.381.195,314.851.096,,981381195.0,314851096.0
10,10 > 10,10,- Tiền thu từ cung cấp dịch vụ,1.079.519.319,346.336.208,,1079519319.0,346336208.0
11,11,11,Công ty CP Today Cosmetics,,,,,
11,11 > 11,11,- Lợi nhuận từ hợp đồng hợp tác đầu tư,559.657.536,802.191.779,,559657536.0,802191779.0
11,11 > 11,11,- Thu lợi nhuận từ hợp đồng hợp tác đầu tư,1.375.000.000,-,,1375000000.0,
11,11 > 11,11,- Thu hồi tiền hợp tác đầu tư,10.000.000.000,-,,10000000000.0,
12,12,12,Công ty CP Mũi Dinh Ecopark,,,,,
12,12 > 12,12,- Lợi nhuận phải trả hợp đồng hợp tác đầu tư,6.504.651.248,6.354.153.342,,6504651248.0,6354153342.0
12,12 > 12,12,- Nhận tiền hợp tác đầu tư,-,17.511.933.515,,,17511933515.0
12,12 > 12,12,- Trả tiền hợp tác đầu tư,15.268.476.518,17.130.000.000,,15268476518.0,17130000000.0
