row_label_raw,row_label_full,Nhóm tài sản cố định,Thời gian sử dụng (năm),numeric__Thời gian sử dụng (năm)
"Nhà cửa, vật kiến trúc","Nhà cửa, vật kiến trúc","Nhà cửa, vật kiến trúc",25 - 50,
Phương tiện vận tải,"Nhà cửa, vật kiến trúc > Phương tiện vận tải",Phương tiện vận tải,06,6.0
"Thiết bị, dụng cụ quản lý và TSCĐ khác","Thiết bị, dụng cụ quản lý và TSCĐ khác","Thiết bị, dụng cụ quản lý và TSCĐ khác",02 - 03,
