row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,31/12/2021 VND,01/01/2021 VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2021 VND,numeric__01/01/2021 VND
TÀI SẢN NGĂN HẠN,TÀI SẢN NGĂN HẠN,TÀI SẢN NGĂN HẠN,100,,1.393.174.923.098,889.798.505.825,100.0,,1393174923098.0,889798505825.0
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,110,4,200.610.726.391,117.917.536,110.0,4.0,200610726391.0,117917536.0
Tiền,Tiền,Tiền,111,,100.610.726.391,117.917.536,111.0,,100610726391.0,117917536.0
Các khoản tương đương tiền,Các khoản tương đương tiền,Các khoản tương đương tiền,112,,100.000.000.000,-,112.0,,100000000000.0,
Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,120,7,1.149.103.584.742,789.330.436.897,120.0,7.0,1149103584742.0,789330436897.0
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,121,,58.712.441.014,49.424.177.980,121.0,,58712441014.0,49424177980.0
Dự phòng giảm giá chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,122,,-,(87.254.674),122.0,,,-87254674.0
Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,123,,1.090.391.143.728,739.993.513.591,123.0,,1090391143728.0,739993513591.0
Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,130,,41.969.055.512,100.140.468.450,130.0,,41969055512.0,100140468450.0
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,5,8.350.136.009,5.777.534.326,131.0,5.0,8350136009.0,5777534326.0
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,132,6,281.437.410,494.270.990,132.0,6.0,281437410.0,494270990.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,9,33.698.856.542,94.230.037.583,136.0,9.0,33698856542.0,94230037583.0
Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,137,10,(361.374.449),(361.374.449),137.0,10.0,-361374449.0,-361374449.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,140,,1.380.000.000,-,140.0,,1380000000.0,
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,141,,1.380.000.000,-,141.0,,1380000000.0,
Tài sẵn ngắn hạn khác,Tài sẵn ngắn hạn khác,Tài sẵn ngắn hạn khác,150,,111.556.453,209.682.942,150.0,,111556453.0,209682942.0
Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,151,8,93.081.180,114.382.240,151.0,8.0,93081180.0,114382240.0
Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,152,,-,95.300.702,152.0,,,95300702.0
Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,153,15,18.475.273,-,153.0,15.0,18475273.0,
TÀI SẢN DÀI HẠN,TÀI SẢN DÀI HẠN,TÀI SẢN DÀI HẠN,200,,2.004.905.007.240,2.241.121.325.830,200.0,,2004905007240.0,2241121325830.0
Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,210,,1.014.500.000,1.014.500.000,210.0,,1014500000.0,1014500000.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,216,9,1.014.500.000,1.014.500.000,216.0,9.0,1014500000.0,1014500000.0
Tài sân cố định,Tài sân cố định,Tài sân cố định,220,,25.900.678.616,26.924.486.116,220.0,,25900678616.0,26924486116.0
Tài sân cố định hữu hình,Tài sân cố định hữu hình,Tài sân cố định hữu hình,221,11,16.488.005.791,17.511.813.291,221.0,11.0,16488005791.0,17511813291.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,27.701.988.360,26.790.770.680,222.0,,27701988360.0,26790770680.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,223,,(11.213.982.569),(9.278.957.389),223.0,,-11213982569.0,-9278957389.0
Tài sân cố định vô hình,Tài sân cố định vô hình,Tài sân cố định vô hình,227,12,9.412.672.825,9.412.672.825,227.0,12.0,9412672825.0,9412672825.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,9.618.372.825,9.618.372.825,228.0,,9618372825.0,9618372825.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,229,,(205.700.000),(205.700.000),229.0,,-205700000.0,-205700000.0
Bất động sân đầu tư,Bất động sân đầu tư,Bất động sân đầu tư,230,13,38.729.010.515,39.802.483.535,230.0,13.0,38729010515.0,39802483535.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,231,,44.704.785.906,44.704.785.906,231.0,,44704785906.0,44704785906.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,232,,(5.975.775.391),(4.902.302.371),232.0,,-5975775391.0,-4902302371.0
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,250,6,1.938.820.007.399,2.173.182.856.175,250.0,6.0,1938820007399.0,2173182856175.0
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,251,,1.951.186.567.861,2.193.770.036.914,251.0,,1951186567861.0,2193770036914.0
Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,254,,(12.366.560.462),(20.587.180.739),254.0,,-12366560462.0,-20587180739.0
Tài sân dài hạn khác,Tài sân dài hạn khác,Tài sân dài hạn khác,260,,440.810.710,197.000.004,260.0,,440810710.0,197000004.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,261,8,440.810.710,197.000.004,261.0,8.0,440810710.0,197000004.0
TỔNG TÀI SẢN (270 = 100 + 200),TỔNG TÀI SẢN (270 = 100 + 200),TỔNG TÀI SẢN (270 = 100 + 200),270,,3.398.079.930.338,3.130.919.831.655,270.0,,3398079930338.0,3130919831655.0
