row_label_raw,row_label_full,STT,Họ và tên,Chức danh,Thu nhập năm 2021,numeric__Họ và tên,numeric__Chức danh,numeric__Thu nhập năm 2021
1,1,1,Nguyễn Văn Sang,Chủ tịch HĐQT,60.000.000,,,60000000.0
2,2,2,Nguyễn Thị Minh Nguyệt,Phó Chủ tịch HĐQT,2.334.374.640,,,2334374640.0
3,3,3,Kiều Hữu Dũng,Thành viên HĐQT,48.000.000,,,48000000.0
4,4,4,Cao Trọng Hoan,Thành viên HĐQT,48.000.000,,,48000000.0
5,5,5,Phan Minh Sáng,Thành viên HĐQT,48.000.000,,,48000000.0
6,6,6,Đỗ Văn Khá,Thành viên độc lập HĐQT,48.000.000,,,48000000.0
7,7,7,Bùi Tuấn,Thành viên độc lập HĐQT,48.000.000,,,48000000.0
8,8,8,Ninh Việt Tiến,Trường BKS,11.100.000,,,11100000.0
9,9,9,Nguyễn Quang Huy,Trường BKS,24.900.000,,,24900000.0
10,10,10,Nguyễn Thị Thanh Thủy,Thành viên BKS,18.000.000,,,18000000.0
11,11,11,Nguyễn Thị Hồng Anh,Thành viên BKS,18.000.000,,,18000000.0
Tổng thu nhập,Tổng thu nhập,Tổng thu nhập,Tổng thu nhập,Tổng thu nhập,2.706.374.640,,,2706374640.0
