row_label_raw,row_label_full,STT Công ty,Năm 2021VND,Năm 2020VND,numeric__Năm 2021VND,numeric__Năm 2020VND
1 Công ty CP Dược phẩm Cửu Long (DCL),1 Công ty CP Dược phẩm Cửu Long (DCL),1 Công ty CP Dược phẩm Cửu Long (DCL),1 Công ty CP Dược phẩm Cửu Long (DCL),1 Công ty CP Dược phẩm Cửu Long (DCL),,
- Doanh thu cung cấp dịch vụ,1 Công ty CP Dược phẩm Cửu Long (DCL) > - Doanh thu cung cấp dịch vụ,- Doanh thu cung cấp dịch vụ,5.123.355.931,4.889.412.493,5123355931.0,4889412493.0
- Tiền thu từ cung cấp dịch vụ,1 Công ty CP Dược phẩm Cửu Long (DCL) > - Tiền thu từ cung cấp dịch vụ,- Tiền thu từ cung cấp dịch vụ,-,5.331.082.818,,5331082818.0
- Chuyển tiền hợp tác đầu tư,1 Công ty CP Dược phẩm Cửu Long (DCL) > - Chuyển tiền hợp tác đầu tư,- Chuyển tiền hợp tác đầu tư,248.000.000.000,-,248000000000.0,
- Thu hồi tiền hợp tác đầu tư,1 Công ty CP Dược phẩm Cửu Long (DCL) > - Thu hồi tiền hợp tác đầu tư,- Thu hồi tiền hợp tác đầu tư,64.000.000.000,-,64000000000.0,
- Lợi nhuận từ hợp đồng hợp tác đầu tư,1 Công ty CP Dược phẩm Cửu Long (DCL) > - Lợi nhuận từ hợp đồng hợp tác đầu tư,- Lợi nhuận từ hợp đồng hợp tác đầu tư,4.753.561.644,-,4753561644.0,
"- Mua hàng hóa, dịch vụ","1 Công ty CP Dược phẩm Cửu Long (DCL) > - Mua hàng hóa, dịch vụ","- Mua hàng hóa, dịch vụ",4.279.839.464,-,4279839464.0,
- Trả tiền mua hàng hóa dịch vụ,1 Công ty CP Dược phẩm Cửu Long (DCL) > - Trả tiền mua hàng hóa dịch vụ,- Trả tiền mua hàng hóa dịch vụ,120.480.050,-,120480050.0,
2 Công ty CP nước khoáng Khánh Hòa,2 Công ty CP nước khoáng Khánh Hòa,2 Công ty CP nước khoáng Khánh Hòa,2 Công ty CP nước khoáng Khánh Hòa,2 Công ty CP nước khoáng Khánh Hòa,,
- Doanh thu cung cấp dịch vụ,2 Công ty CP nước khoáng Khánh Hòa > - Doanh thu cung cấp dịch vụ,- Doanh thu cung cấp dịch vụ,2.258.605.907,1.541.485.233,2258605907.0,1541485233.0
