row_label_raw,row_label_full,STT,Tên Công ty,Trụ sở chính,Tỷ lệ phần sở hữu,Tỷ lệ quyền biểu quyết nắm giữ,Hoạt động chính,numeric__Tên Công ty,numeric__Trụ sở chính,numeric__Tỷ lệ phần sở hữu,numeric__Tỷ lệ quyền biểu quyết nắm giữ,numeric__Hoạt động chính
,,,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,,
1,1,1,Công ty Cổ phần FIT Cosmetics,Hồ Chí Minh,"25,35%","49,08%",Phân phối ngành hóa mỹ phẩm,,,0.2535,0.49079999999999996,
2,2,2,Công ty Cổ phần Mũi Dinh Ecopark,Ninh Thuận,"49,84%","50,00%","Dịch vụ hỗ trợ liên quan đến vận tải, dịch vụ lưu trú ngắn ngày, dịch vụ ăn uống phục vụ lưu động, bán buôn đồ uống",,,0.4984,0.5,
