row_label_raw,row_label_full,Chỉ tiêu,Mã số,Thuyết minh,Năm 2021 VND,Năm 2020 VND,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2021 VND,numeric__Năm 2020 VND
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,01,19,14.495.463.313,65.618.865.463,1.0,19.0,14495463313.0,65618865463.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,02,,-,-,2.0,,,
Doanh thu thuần bán hàng và cung cấp dịch vụ,Doanh thu thuần bán hàng và cung cấp dịch vụ,Doanh thu thuần bán hàng và cung cấp dịch vụ,10,,14.495.463.313,65.618.865.463,10.0,,14495463313.0,65618865463.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,11,20,8.925.643.938,56.428.514.336,11.0,20.0,8925643938.0,56428514336.0
Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,5.569.819.375,9.190.351.127,20.0,,5569819375.0,9190351127.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,21,182.255.486.595,55.924.383.285,21.0,21.0,182255486595.0,55924383285.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,22,16.184.098.771,29.601.768.672,22.0,22.0,16184098771.0,29601768672.0
Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,23,,7.798.950.760,5.521.322.051,23.0,,7798950760.0,5521322051.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,23,37.760.337.500,22.731.317.122,26.0,23.0,37760337500.0,22731317122.0
Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,30,,133.880.869.699,12.781.648.618,30.0,,133880869699.0,12781648618.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,,264.213.795,1.626.395.942,31.0,,264213795.0,1626395942.0
Chi phí khác,Chi phí khác,Chi phí khác,32,,351.202.947,1.399.790.942,32.0,,351202947.0,1399790942.0
Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,40,,(86.989.152),226.605.000,40.0,,-86989152.0,226605000.0
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,50,,133.793.880.547,13.008.253.618,50.0,,133793880547.0,13008253618.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,25,18.899.214.044,1.460.234.862,51.0,25.0,18899214044.0,1460234862.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,60,,114.894.666.503,11.548.018.756,60.0,,114894666503.0,11548018756.0
