row_label_raw,row_label_full,II. Đầu tư nằm giữ đến ngày đáo hạn,31/12/2021 > Giá gốcVND > II. Đầu tư nằm giữ đến ngày đáo hạn,31/12/2021 > Giá trị ghi sổVND > II. Đầu tư nằm giữ đến ngày đáo hạn,31/12/2021 > Dự phòngVND > II. Đầu tư nằm giữ đến ngày đáo hạn,01/01/2021 > Giá gốcVND > II. Đầu tư nằm giữ đến ngày đáo hạn,01/01/2021 > Giá trị ghi sổVND > II. Đầu tư nằm giữ đến ngày đáo hạn,01/01/2021 > Dự phòngVND > II. Đầu tư nằm giữ đến ngày đáo hạn,numeric__31/12/2021 > Giá gốcVND > II. Đầu tư nằm giữ đến ngày đáo hạn,numeric__31/12/2021 > Giá trị ghi sổVND > II. Đầu tư nằm giữ đến ngày đáo hạn,numeric__31/12/2021 > Dự phòngVND > II. Đầu tư nằm giữ đến ngày đáo hạn,numeric__01/01/2021 > Giá gốcVND > II. Đầu tư nằm giữ đến ngày đáo hạn,numeric__01/01/2021 > Giá trị ghi sổVND > II. Đầu tư nằm giữ đến ngày đáo hạn,numeric__01/01/2021 > Dự phòngVND > II. Đầu tư nằm giữ đến ngày đáo hạn
Ngắn hạn,Ngắn hạn,Ngắn hạn,1.090.391.143.728,1.090.176.000.000,(215.143.728),739.993.513.591,739.778.369.863,(215.143.728),1090391143728.0,1090176000000.0,-215143728.0,739993513591.0,739778369863.0,-215143728.0
- Tiền gửi có kỳ hạn (*),- Tiền gửi có kỳ hạn (*),- Tiền gửi có kỳ hạn (*),400.206.000.000,400.206.000.000,-,172.681.369.863,172.681.369.863,-,400206000000.0,400206000000.0,,172681369863.0,172681369863.0,
- Trái phiếu,- Trái phiếu,- Trái phiếu,55.000.000.000,55.000.000.000,-,20.000.000.000,20.000.000.000,-,55000000000.0,55000000000.0,,20000000000.0,20000000000.0,
- Các khoản đầu tư khác (**),- Các khoản đầu tư khác (**),- Các khoản đầu tư khác (**),635.185.143.728,634.970.000.000,(215.143.728),547.312.143.728,547.097.000.000,(215.143.728),635185143728.0,634970000000.0,-215143728.0,547312143728.0,547097000000.0,-215143728.0
Công Ty CP Đầu Tư Thương Mại Hoa Sen Việt Nam,Công Ty CP Đầu Tư Thương Mại Hoa Sen Việt Nam,Công Ty CP Đầu Tư Thương Mại Hoa Sen Việt Nam,105.000.000.000,105.000.000.000,-,105.000.000.000,105.000.000.000,-,105000000000.0,105000000000.0,,105000000000.0,105000000000.0,
Công ty CP Đầu tư Bất Đông Sản F.I.T,Công ty CP Đầu tư Bất Đông Sản F.I.T,Công ty CP Đầu tư Bất Đông Sản F.I.T,68.800.000.000,68.800.000.000,-,220.283.000.000,220.283.000.000,-,68800000000.0,68800000000.0,,220283000000.0,220283000000.0,
Công ty TNHH Xuất nhập khẩu và Thương mại F.I.T Việt Nam,Công ty TNHH Xuất nhập khẩu và Thương mại F.I.T Việt Nam,Công ty TNHH Xuất nhập khẩu và Thương mại F.I.T Việt Nam,35.000.000.000,35.000.000.000,-,135.000.000.000,135.000.000.000,-,35000000000.0,35000000000.0,,135000000000.0,135000000000.0,
Công ty CP FIT Cosmetics,Công ty CP FIT Cosmetics,Công ty CP FIT Cosmetics,-,-,-,6.475.000.000,6.475.000.000,-,,,,6475000000.0,6475000000.0,
Công ty CP đầu tư và thương mại Phố Hiến Việt Nam,Công ty CP đầu tư và thương mại Phố Hiến Việt Nam,Công ty CP đầu tư và thương mại Phố Hiến Việt Nam,177.170.000.000,177.170.000.000,-,70.339.000.000,70.339.000.000,-,177170000000.0,177170000000.0,,70339000000.0,70339000000.0,
Công ty CP Dược phẩm Ciru Long,Công ty CP Dược phẩm Ciru Long,Công ty CP Dược phẩm Ciru Long,184.000.000.000,184.000.000.000,-,-,-,-,184000000000.0,184000000000.0,,,,
Công ty CP Today Cosmetics,Công ty CP Today Cosmetics,Công ty CP Today Cosmetics,-,-,-,10.000.000.000,10.000.000.000,-,,,,10000000000.0,10000000000.0,
Công ty CP Chứng khoán Dầu Kích,Công ty CP Chứng khoán Dầu Kích,Công ty CP Chứng khoán Dầu Kích,65.000.000.000,65.000.000.000,-,-,-,-,65000000000.0,65000000000.0,,,,
Nguyễn Trường Ban,Nguyễn Trường Ban,Nguyễn Trường Ban,215.143.728,-,(215.143.728),215.143.728,-,(215.143.728),215143728.0,,-215143728.0,215143728.0,,-215143728.0
Dài hạn,Dài hạn,Dài hạn,-,-,-,-,-,-,,,,,,
,,,1.090.391.143.728,1.090.176.000.000,(215.143.728),739.993.513.591,739.778.369.863,(215.143.728),1090391143728.0,1090176000000.0,-215143728.0,739993513591.0,739778369863.0,-215143728.0
