row_label_raw,row_label_full,STT,Chỉ tiêu,Thuyết minh,31/12/2025Triệu VND,31/12/2024Triệu VND,numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__31/12/2025Triệu VND,numeric__31/12/2024Triệu VND
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và NHNNVN,16,160.128.325,78.237.337,,16.0,160128325.0,78237337.0
1,B > 1,1,Tiền gửi và vay Chính phủ và NHNNVN,,160.128.325,78.237.337,,,160128325.0,78237337.0
II,B > II,II,Tiền gửi và vay các tổ chức tín dụng khác,17,308.826.497,227.892.113,,17.0,308826497.0,227892113.0
1,B > 1,1,Tiền gửi của các tổ chức tín dụng khác,,307.512.755,224.539.536,,,307512755.0,224539536.0
2,B > 2,2,Vay các tổ chức tín dụng khác,,1.313.742,3.352.577,,,1313742.0,3352577.0
III,B > III,III,Tiền gửi của khách hàng,18,1.674.441.021,1.515.557.944,,18.0,1674441021.0,1515557944.0
V,B > V,V,"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",19,-,529,,19.0,,529.0
VI,B > VI,VI,Phát hành giấy tờ có giá,20,27.101.221,24.125.059,,20.0,27101221.0,24125059.0
VII,B > VII,VII,Các khoản nợ khác,,35.451.046,37.055.464,,,35451046.0,37055464.0
1,B > 1,1,"Các khoản lãi, phí phải trả",21(a),15.400.871,13.970.457,,,15400871.0,13970457.0
3,B > 3,3,Các khoản phải trả và công nợ khác,21(b),20.050.175,23.085.007,,,20050175.0,23085007.0
,,,TỔNG NỘ PHẢI TRẢ,,2.205.948.110,1.882.868.446,,,2205948110.0,1882868446.0
VIII,B > VIII,VIII,Vốn chủ sở hữu,22,,,,22.0,,
1,B > 1,1,Vốn của tổ chức tín dụng,,88.552.552,60.886.714,,,88552552.0,60886714.0
a,B > a,a,Vốn điều lệ,,83.556.751,55.890.913,,,83556751.0,55890913.0
c,B > c,c,Thặng dư vốn cổ phần,,4.995.389,4.995.389,,,4995389.0,4995389.0
g,B > g,g,Vốn khác,,412,412,,,412.0,412.0
2,B > 2,2,Quỹ của tổ chức tín dụng,,47.869.304,36.655.243,,,47869304.0,36655243.0
5,B > 5,5,Lợi nhuận chưa phân phối,,84.279.161,95.368.537,,,84279161.0,95368537.0
a,B > a,a,Lợi nhuận để lại năm trước,,63.961.420,72.244.444,,,63961420.0,72244444.0
b,B > b,b,Lợi nhuận để lại năm nay,,20.317.741,23.124.093,,,20317741.0,23124093.0
,,,TỔNG VỐN CHỦ SỞ HỮU,22(a),220.701.017,192.910.494,,,220701017.0,192910494.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,2.426.649.127,2.075.778.940,,,2426649127.0,2075778940.0
