row_label_raw,row_label_full,Vay Ngân hàng Nhà nước Việt Nam,31/12/2025Triệu VND > 24.127.159,31/12/2024Triệu VND > 587.278,numeric__31/12/2025Triệu VND > 24.127.159,numeric__31/12/2024Triệu VND > 587.278
Vay theo hồ sơ tín dụng,Vay theo hồ sơ tín dụng,Vay theo hồ sơ tín dụng,355.322,535.580,355322.0,535580.0
Vay cầm cố GTCG,Vay cầm cố GTCG,Vay cầm cố GTCG,23.748.932,-,23748932.0,
Vay khác,Vay khác,Vay khác,22.905,51.698,22905.0,51698.0
Tiền gửi của Kho bạc Nhà nước,Tiền gửi của Kho bạc Nhà nước,Tiền gửi của Kho bạc Nhà nước,136.001.166,77.650.059,136001166.0,77650059.0
Tiền gửi không kỳ hạn bằng VND,Tiền gửi không kỳ hạn bằng VND,Tiền gửi không kỳ hạn bằng VND,490.536,412.215,490536.0,412215.0
Tiền gửi không kỳ hạn bằng ngoại tệ,Tiền gửi không kỳ hạn bằng ngoại tệ,Tiền gửi không kỳ hạn bằng ngoại tệ,885.630,572.844,885630.0,572844.0
Tiền gửi có kỳ hạn bằng VND,Tiền gửi có kỳ hạn bằng VND,Tiền gửi có kỳ hạn bằng VND,134.625.000,76.665.000,134625000.0,76665000.0
,,,160.128.325,78.237.337,160128325.0,78237337.0
