row_label_raw,row_label_full,col_0,Ngành kinh doanh,Tỷ lệvốn góp%,Giá gốcTriệu VND,numeric__Ngành kinh doanh,numeric__Tỷ lệvốn góp%,numeric__Giá gốcTriệu VND
Ngân hàng TMCP Xuất Nhập khẩu Việt Nam,Ngân hàng TMCP Xuất Nhập khẩu Việt Nam,Ngân hàng TMCP Xuất Nhập khẩu Việt Nam,Ngân hàng,"4,51%",319.908,,0.0451,319908.0
Ngân hàng TMCP Quân Đội,Ngân hàng TMCP Quân Đội,Ngân hàng TMCP Quân Đội,Ngân hàng,"4,28%",802.269,,0.042800000000000005,802269.0
Tổng Công ty Cổ phần Bảo hiểm Petrolimex,Tổng Công ty Cổ phần Bảo hiểm Petrolimex,Tổng Công ty Cổ phần Bảo hiểm Petrolimex,Bảo hiểm,"8,03%",67.900,,0.0803,67900.0
Công ty Cổ phần Thông tin tín dụng,Công ty Cổ phần Thông tin tín dụng,Công ty Cổ phần Thông tin tín dụng,Dịch vụ thông tin,,,,,
Việt Nam,Công ty Cổ phần Thông tin tín dụng > Việt Nam,Việt Nam,tín dụng,"6,64%",7.962,,0.0664,7962.0
Tổng Công ty Phát triển Hạ tầng và Đầu tư,Tổng Công ty Phát triển Hạ tầng và Đầu tư,Tổng Công ty Phát triển Hạ tầng và Đầu tư,Đầu tư,,,,,
Tải chính Việt Nam,Tổng Công ty Phát triển Hạ tầng và Đầu tư > Tải chính Việt Nam,Tải chính Việt Nam,đường cao tốc,"1,97%",75.000,,0.0197,75000.0
Công ty Cổ phần Thanh toán Quốc gia,Công ty Cổ phần Thanh toán Quốc gia,Công ty Cổ phần Thanh toán Quốc gia,"Dịch vụ thể, thanh toán",,,,,
Việt Nam,Công ty Cổ phần Thanh toán Quốc gia > Việt Nam,Việt Nam,,"1,83%",4.400,,0.0183,4400.0
Tổng Công ty Hàng không Việt Nam,Công ty Cổ phần Thanh toán Quốc gia > Tổng Công ty Hàng không Việt Nam,Tổng Công ty Hàng không Việt Nam,Hàng không,"0,67%",308.937,,0.0067,308937.0
"SWIFT, MASTER và VISA","Công ty Cổ phần Thanh toán Quốc gia > SWIFT, MASTER và VISA","SWIFT, MASTER và VISA","Dịch vụ thể, thanh toán","0,00%",2.713,,0.0,2713.0
,,,,,1.589.089,,,1589089.0
Dự phòng giảm giá đầu tư dài hạn khác(Thuyết minh 12(e)),Công ty Cổ phần Thanh toán Quốc gia > Dự phòng giảm giá đầu tư dài hạn khác(Thuyết minh 12(e)),Dự phòng giảm giá đầu tư dài hạn khác(Thuyết minh 12(e)),Dự phòng giảm giá đầu tư dài hạn khác(Thuyết minh 12(e)),Dự phòng giảm giá đầu tư dài hạn khác(Thuyết minh 12(e)),(75.000),,,-75000.0
,,,,,1.514.089,,,1514089.0
