row_label_raw,row_label_full,STT,Chỉ tiêu,Thuyết minh,31/12/2025Triệu VND,31/12/2024Triệu VND,numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__31/12/2025Triệu VND,numeric__31/12/2024Triệu VND
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,"Tiền mặt, vàng bạc, đá quý",4,15.466.014,14.242.073,,4.0,15466014.0,14242073.0
II,A > II,II,Tiền gửi tại Ngân hàng Nhà nước Việt Nam (“NHNNVN”),5,37.211.549,49.080.832,,5.0,37211549.0,49080832.0
III,A > III,III,Tiền gửi và cho vay các tổ chức tín dụng khác,6,526.677.310,394.354.303,,6.0,526677310.0,394354303.0
1,A > 1,1,Tiền gửi tại các tổ chức tín dụng khác,,512.067.606,382.313.025,,,512067606.0,382313025.0
2,A > 2,2,Cho vay các tổ chức tín dụng khác,,14.609.704,13.041.278,,,14609704.0,13041278.0
3,A > 3,3,Dự phòng rủi ro,,-,(1.000.000),,,,-1000000.0
IV,A > IV,IV,Chứng khoán kinh doanh,7,7.362.215,1.000.145,,7.0,7362215.0,1000145.0
1,A > 1,1,Chứng khoán kinh doanh,,7.362.215,1.000.145,,,7362215.0,1000145.0
V,A > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,8,374.918,1.314.434,,8.0,374918.0,1314434.0
VI,A > VI,VI,Cho vay khách hàng,,1.629.733.004,1.404.347.717,,,1629733004.0,1404347717.0
1,A > 1,1,Cho vay khách hàng,9,1.654.518.218,1.435.408.058,,9.0,1654518218.0,1435408058.0
2,A > 2,2,Dự phòng rủi ro cho vay khách hàng,10,(24.785.214),(31.060.341),,10.0,-24785214.0,-31060341.0
VIII,A > VIII,VIII,Chứng khoán đầu tư,11,159.958.649,166.147.237,,11.0,159958649.0,166147237.0
1,A > 1,1,Chứng khoán đầu tư sẵn sàng để bán,,143.080.817,86.799.901,,,143080817.0,86799901.0
2,A > 2,2,Chứng khoán đầu tư giữ đến ngày đáo hạn,,20.239.447,79.593.428,,,20239447.0,79593428.0
3,A > 3,3,Dự phòng rủi ro chứng khoán đầu tư,,(3.361.615),(246.092),,,-3361615.0,-246092.0
IX,A > IX,IX,"Góp vốn, đầu tư dài hạn",,6.666.134,6.605.967,,,6666134.0,6605967.0
1,A > 1,1,Đầu tư vào công ty con,12(a),4.595.420,4.595.420,,,4595420.0,4595420.0
2,A > 2,2,Vốn góp liên doanh,12(b),545.515,545.515,,,545515.0,545515.0
3,A > 3,3,Đầu tư vào công ty liên kết,12(c),11.110,11.110,,,11110.0,11110.0
4,A > 4,4,Đầu tư dài hạn khác,12(d),1.589.089,1.528.922,,,1589089.0,1528922.0
5,A > 5,5,Dự phòng giảm giá đầu tư dài hạn,12(e),(75.000),(75.000),,,-75000.0,-75000.0
X,A > X,X,Tài sản cố định,,7.979.571,7.886.828,,,7979571.0,7886828.0
1,A > 1,1,Tài sản cố định hữu hình,13,5.475.133,5.358.085,,13.0,5475133.0,5358085.0
a,A > a,a,Nguyên giá tài sản cố định,,15.211.876,14.758.274,,,15211876.0,14758274.0
b,A > b,b,Khẩu hao tài sản cố định,,(9.736.743),(9.400.189),,,-9736743.0,-9400189.0
3,A > 3,3,Tài sản cố định vô hình,14,2.504.438,2.528.743,,14.0,2504438.0,2528743.0
a,A > a,a,Nguyên giá tài sản cố định,,5.152.837,4.967.369,,,5152837.0,4967369.0
b,A > b,b,Hao mòn tài sản cố định,,(2.648.399),(2.438.626),,,-2648399.0,-2438626.0
XII,A > XII,XII,Tài sản Có khác,,35.219.763,30.799.404,,,35219763.0,30799404.0
1,A > 1,1,Các khoản phải thu,15(a),19.808.933,14.684.360,,,19808933.0,14684360.0
2,A > 2,2,"Các khoản lãi, phí phải thu",15(b),9.592.816,8.666.759,,,9592816.0,8666759.0
3,A > 3,3,Tài sản thuế thu nhập doanh nghiệp hoãn lại,15(c),-,986.374,,,,986374.0
4,A > 4,4,Tài sản Có khác,15(d),5.818.495,6.462.320,,,5818495.0,6462320.0
5,A > 5,5,Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,15(d),(481),(409),,,-481.0,-409.0
,,,TỔNG TÀI SẢN CÓ,,2.426.649.127,2.075.778.940,,,2426649127.0,2075778940.0
