row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu VND","Máy móc,thiết bịTriệu VND","Phươngtiện vận tải,truyền đầnTriệu VND",Tài sảncố định hữuhình khácTriệu VND,Tổng cộngTriệu VND,"numeric__Nhà cửa,vật kiến trúcTriệu VND","numeric__Máy móc,thiết bịTriệu VND","numeric__Phươngtiện vận tải,truyền đầnTriệu VND",numeric__Tài sảncố định hữuhình khácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,5.809.200,5.414.949,1.679.322,1.854.803,14.758.274,5809200.0,5414949.0,1679322.0,1854803.0,14758274.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,57.221,881.453,129.190,146.687,1.214.551,57221.0,881453.0,129190.0,146687.0,1214551.0
- Mua mới,Nguyên giá > - Mua mới,- Mua mới,57.221,877.924,129.190,146.687,1.211.022,57221.0,877924.0,129190.0,146687.0,1211022.0
- Tăng khác,Nguyên giá > - Tăng khác,- Tăng khác,-,3.529,-,-,3.529,,3529.0,,,3529.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,(7.629),(672.703),(51.355),(29.262),(760.949),-7629.0,-672703.0,-51355.0,-29262.0,-760949.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(5.492),(672.703),(51.303),(25.754),(755.252),-5492.0,-672703.0,-51303.0,-25754.0,-755252.0
- Giảm khác,Nguyên giá > - Giảm khác,- Giảm khác,(2.137),-,(52),(3.508),(5.697),-2137.0,,-52.0,-3508.0,-5697.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,5.858.792,5.623.699,1.757.157,1.972.228,15.211.876,5858792.0,5623699.0,1757157.0,1972228.0,15211876.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,2.098.863,4.600.680,1.061.375,1.639.271,9.400.189,2098863.0,4600680.0,1061375.0,1639271.0,9400189.0
Tăng trong năm,Hao mòn lũy kế > Tăng trong năm,Tăng trong năm,247.465,554.642,178.420,122.448,1.102.975,247465.0,554642.0,178420.0,122448.0,1102975.0
- Khấu hao,Hao mòn lũy kế > - Khấu hao,- Khấu hao,247.465,537.247,178.420,119.784,1.082.916,247465.0,537247.0,178420.0,119784.0,1082916.0
- Tăng khác,Hao mòn lũy kế > - Tăng khác,- Tăng khác,-,17.395,-,2.664,20.059,,17395.0,,2664.0,20059.0
Giảm trong năm,Hao mòn lũy kế > Giảm trong năm,Giảm trong năm,(12.916),(672.364),(55.399),(25.742),(766.421),-12916.0,-672364.0,-55399.0,-25742.0,-766421.0
"- Thanh lý, nhượng bán","Hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(5.446),(672.364),(51.049),(25.742),(754.601),-5446.0,-672364.0,-51049.0,-25742.0,-754601.0
- Giảm khác,Hao mòn lũy kế > - Giảm khác,- Giảm khác,(7.470),-,(4.350),-,(11.820),-7470.0,,-4350.0,,-11820.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,2.333.412,4.482.958,1.184.396,1.735.977,9.736.743,2333412.0,4482958.0,1184396.0,1735977.0,9736743.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,3.710.337,814.269,617.947,215.532,5.358.085,3710337.0,814269.0,617947.0,215532.0,5358085.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,3.525.380,1.140.741,572.761,236.251,5.475.133,3525380.0,1140741.0,572761.0,236251.0,5475133.0
