row_label_raw,row_label_full,"(a) Các khoản lãi, phí phải trả","(a) Các khoản lãi, phí phải trả_1","(a) Các khoản lãi, phí phải trả_2","numeric__(a) Các khoản lãi, phí phải trả_1","numeric__(a) Các khoản lãi, phí phải trả_2"
,,,31/12/2025Triệu VND,31/12/2024Triệu VND,,
Lãi tiền gửi của khách hàng,Lãi tiền gửi của khách hàng,Lãi tiền gửi của khách hàng,14.321.512,13.103.857,14321512.0,13103857.0
Lãi tiền gửi và vay các TCTD khác,Lãi tiền gửi và vay các TCTD khác,Lãi tiền gửi và vay các TCTD khác,159.178,152.500,159178.0,152500.0
Lãi phải trả phát hành giấy tờ có giá,Lãi phải trả phát hành giấy tờ có giá,Lãi phải trả phát hành giấy tờ có giá,414.860,460.802,414860.0,460802.0
Lãi phải trả cho các công cụ tài chính phải sinh,Lãi phải trả cho các công cụ tài chính phải sinh,Lãi phải trả cho các công cụ tài chính phải sinh,505.321,253.298,505321.0,253298.0
,,,15.400.871,13.970.457,15400871.0,13970457.0
(b) Các khoản phải trả và công nợ khác,(b) Các khoản phải trả và công nợ khác,(b) Các khoản phải trả và công nợ khác,(b) Các khoản phải trả và công nợ khác,(b) Các khoản phải trả và công nợ khác,,
,,,31/12/2025Triệu VND,31/12/2024Triệu VND,,
Các khoản phải trả nội bộ (i),(b) Các khoản phải trả và công nợ khác > Các khoản phải trả nội bộ (i),Các khoản phải trả nội bộ (i),5.563.729,5.603.804,5563729.0,5603804.0
Các khoản phải trả bên ngoài (ii),(b) Các khoản phải trả và công nợ khác > Các khoản phải trả bên ngoài (ii),Các khoản phải trả bên ngoài (ii),9.295.016,12.710.560,9295016.0,12710560.0
"Quỹ khen thưởng, phúc lợi","(b) Các khoản phải trả và công nợ khác > Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi",5.191.430,4.770.643,5191430.0,4770643.0
,,,20.050.175,23.085.007,20050175.0,23085007.0
