row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dư vốn cổ phần,Vốn khác,Quỹ của tổ chức tín dụng,Quỹ của tổ chức tín dụng_1,Quỹ của tổ chức tín dụng_2,Quỹ của tổ chức tín dụng_3,Lợi nhuận chưa phân phối,Tổng cộng,numeric__Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác,numeric__Quỹ của tổ chức tín dụng,numeric__Quỹ của tổ chức tín dụng_1,numeric__Quỹ của tổ chức tín dụng_2,numeric__Quỹ của tổ chức tín dụng_3,numeric__Lợi nhuận chưa phân phối,numeric__Tổng cộng
,,,Vốn điều lệ,Thặng dư vốn cổ phần,Vốn khác,Quỹ dự trữ bổ sung vốn điều lệ,Quỹ dự phòng tài chính,Quỹ đầu tư phát triển,Tổng cộng,Lợi nhuận chưa phân phối,Tổng cộng,,,,,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,
Số dư tại ngày 1/1/2025,Số dư tại ngày 1/1/2025,Số dư tại ngày 1/1/2025,55.890.913,4.995.389,412,13.997.070,21.345.525,1.312.648,36.655.243,95.368.537,192.910.494,55890913.0,4995389.0,412.0,13997070.0,21345525.0,1312648.0,36655243.0,95368537.0,192910494.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,34.506.669,34.506.669,,,,,,,,34506669.0,34506669.0
Tạm trích các quỹ trong năm 2025 của Ngân hàng,Tạm trích các quỹ trong năm 2025 của Ngân hàng,Tạm trích các quỹ trong năm 2025 của Ngân hàng,-,-,-,3.450.667,-,7.764.001,11.214.668,(11.214.668),-,,,,3450667.0,,7764001.0,11214668.0,-11214668.0,
"Tạm trích quỹ khen thưởng, phúc lợi trong năm 2025","Tạm trích quỹ khen thưởng, phúc lợi trong năm 2025","Tạm trích quỹ khen thưởng, phúc lợi trong năm 2025",-,-,-,-,-,-,-,(2.974.260),(2.974.260),,,,,,,,-2974260.0,-2974260.0
Phát hành cổ phiếu thưởng tăng vốn trong năm,Phát hành cổ phiếu thưởng tăng vốn trong năm,Phát hành cổ phiếu thưởng tăng vốn trong năm,27.665.838,-,-,-,-,-,-,(27.665.838),-,27665838.0,,,,,,,-27665838.0,
Trả cổ tức,Trả cổ tức,Trả cổ tức,-,-,-,-,-,-,-,(3.760.054),(3.760.054),,,,,,,,-3760054.0,-3760054.0
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,-,(607),-,(607),-,(607),,,,,-607.0,,-607.0,,-607.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,-,-,-,-,18.775,18.775,,,,,,,,18775.0,18775.0
Số dư tại ngày 31/12/2025,Số dư tại ngày 31/12/2025,Số dư tại ngày 31/12/2025,83.556.751,4.995.389,412,17.447.737,21.344.918,9.076.649,47.869.304,84.279.161,220.701.017,83556751.0,4995389.0,412.0,17447737.0,21344918.0,9076649.0,47869304.0,84279161.0,220701017.0
