row_label_raw,row_label_full,col_0,Căn cứ trích lập,Mức tối đa,numeric__Căn cứ trích lập,numeric__Mức tối đa
Quỹ dự trữ bổ sung vốn điều lệ,Quỹ dự trữ bổ sung vốn điều lệ,Quỹ dự trữ bổ sung vốn điều lệ,10% lợi nhuận sau thuế,100% vốn điều lệ,,
Quỹ dự phòng tài chính,Quỹ dự phòng tài chính,Quỹ dự phòng tài chính,"10% lợi nhuận sau thuế còn lại sau khi đã trích lập các khoản quy định tại các khoản 1, 2, 3 Điều 26, Nghị định 135",25% vốn điều lệ,,
Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,"Tôi đa 25% lợi nhuận sau thuế còn lại sau khi đã trích lập các khoản quy định tại các khoản 1, 2, 3 Điều 26, Nghị định 135",100% vốn điều lệ,,
