row_label_raw,row_label_full,col_0,col_1,Miền Bắc (*)Triệu VND,Miền Trungvà Tây NguyênTriệu VND,Miền NamTriệu VND,Loại trừTriệu VND,Tổng cộngTriệu VND,numeric__col_1,numeric__Miền Bắc (*)Triệu VND,numeric__Miền Trungvà Tây NguyênTriệu VND,numeric__Miền NamTriệu VND,numeric__Loại trừTriệu VND,numeric__Tổng cộngTriệu VND
1,1,1,Thu nhập lãi và các khoản thu nhập tương tự,142.556.965(118.176.554),21.439.288(13.169.344),65.901.229(40.936.754),(126.313.860)126.313.860,103.583.622(45.968.792),,,,,,
2,2,2,Chi phí lãi và các chi phí tương tự,142.556.965(118.176.554),21.439.288(13.169.344),65.901.229(40.936.754),(126.313.860)126.313.860,103.583.622(45.968.792),,,,,,
I,2 > I,I,Thu nhập lãi thuần,24.380.411,8.269.944,24.964.475,-,57.614.830,,24380411.0,8269944.0,24964475.0,,57614830.0
3,2 > 3,3,Thu nhập từ hoạt động dịch vụ,7.046.175,855.239,3.341.880,-,11.243.294,,7046175.0,855239.0,3341880.0,,11243294.0
4,2 > 4,4,Chi phí hoạt động dịch vụ,(7.964.891),(55.962),(172.834),-,(8.193.687),,-7964891.0,-55962.0,-172834.0,,-8193687.0
II,2 > II,II,Lãi thuần từ hoạt động dịch vụ,(918.716),799.277,3.169.046,-,3.049.607,,-918716.0,799277.0,3169046.0,,3049607.0
III,2 > III,III,Lãi thuần từ hoạt động kinh doanh ngoại hối,4.487.084,206.729,1.452.087,-,6.145.900,,4487084.0,206729.0,1452087.0,,6145900.0
IV,2 > IV,IV,Lãi thuần từ mua bán chứng khoán kinh doanh,28.883,-,-,-,28.883,,28883.0,,,,28883.0
V,2 > V,V,Lãi thuần từ mua bán chứng khoán đầu tư,3.616,-,-,-,3.616,,3616.0,,,,3616.0
5,2 > 5,5,Thu nhập từ hoạt động khác,2.479.830,570.587,2.199.054,-,5.249.471,,2479830.0,570587.0,2199054.0,,5249471.0
6,2 > 6,6,Chi phí hoạt động khác,(1.345.049),(77.175),(254.497),-,(1.676.721),,-1345049.0,-77175.0,-254497.0,,-1676721.0
VI,2 > VI,VI,Lãi thuần từ hoạt động khác,1.134.781,493.412,1.944.557,-,3.572.750,,1134781.0,493412.0,1944557.0,,3572750.0
VII,2 > VII,VII,"Thu nhập từ góp vốn, mua cổ phần",426.069,-,-,-,426.069,,426069.0,,,,426069.0
,,,Tổng thu nhập hoạt động,29.542.128,9.769.362,31.530.165,-,70.841.655,,29542128.0,9769362.0,31530165.0,,70841655.0
VIII,2 > VIII,VIII,Chi phí hoạt động,(14.718.851),(2.529.481),(7.435.556),-,(24.683.888),,-14718851.0,-2529481.0,-7435556.0,,-24683888.0
IX,2 > IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,14.823.277,7.239.881,24.094.609,-,46.157.767,,14823277.0,7239881.0,24094609.0,,46157767.0
X,2 > X,X,Hoàn nhập/(trích lập) chi phí dự phòng rủi ro tín dụng,2.043.248,(1.089.809),(3.986.584),-,(3.033.145),,2043248.0,-1089809.0,-3986584.0,,-3033145.0
XI,2 > XI,XI,Tổng lợi nhuận trước thuế,16.866.525,6.150.072,20.108.025,-,43.124.622,,16866525.0,6150072.0,20108025.0,,43124622.0
7,2 > 7,7,Chi phí thuế TNDN hiện hành,(2.379.960),(1.230.014),(4.021.605),-,(7.631.579),,-2379960.0,-1230014.0,-4021605.0,,-7631579.0
8,2 > 8,8,Chi phí thuế TNDN hoãn lại,(986.374),-,-,-,(986.374),,-986374.0,,,,-986374.0
XII,2 > XII,XII,Chi phí thuế TNDN,(3.366.334),(1.230.014),(4.021.605),-,(8.617.953),,-3366334.0,-1230014.0,-4021605.0,,-8617953.0
XIII,2 > XIII,XIII,Lợi nhuận sau thuế,13.500.191,4.920.058,16.086.420,-,34.506.669,,13500191.0,4920058.0,16086420.0,,34506669.0
