row_label_raw,row_label_full,STT,Chỉ tiêu,2025Triệu VND,2024Triệu VND,numeric__Chỉ tiêu,numeric__2025Triệu VND,numeric__2024Triệu VND
,,,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
01,01,01,Mua sắm tài sản cố định,(1.411.450),(1.428.169),,-1411450.0,-1428169.0
02,02,02,"Tiền thu từ thanh lý, nhượng bán tài sản cố định",10.356,6.932,,10356.0,6932.0
03,03,03,"Tiền chi cho thanh lý, nhượng bán tài sản cố định",(1.270),(1.204),,-1270.0,-1204.0
04,04,04,"Tiền chi đầu tư, góp vốn vào các đơn vị khác",(60.167),-,,-60167.0,
08,08,08,"Tiền thu đầu tư, góp vốn vào các đơn vị khác",-,747,,,747.0
09,09,09,"Tiền thu cổ tức và lợi nhuận được chia từ các khoảnđầu tư, góp vốn dài hạn",359.569,294.100,,359569.0,294100.0
10,10,10,Tiền thu từ cổ tức đã có quyết định từ năm trước,32.125,153.300,,32125.0,153300.0
II,II,II,Lưu chuyển tiền thuần cho hoạt động đầu tư,(1.070.837),(974.294),,-1070837.0,-974294.0
,,,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
04,04,04,"Cổ tức trả cho cổ đông, lợi nhuận đã chia",(3.760.054),-,,-3760054.0,
III,III,III,Lưu chuyển tiền thuần cho hoạt động tài chính,(3.760.054),-,,-3760054.0,
IV,IV,IV,Lưu chuyển tiền thuần trong năm,112.723.525,57.015.496,,112723525.0,57015496.0
V,V,V,Tiền và các khoản tương đương tiền tại thời điểmđầu năm,429.790.052,372.774.556,,429790052.0,372774556.0
VII,VII,VII,Tiền và các khoản tương đương tiền tại thời điểmcuối năm (Thuyết minh 34),542.513.577,429.790.052,,542513577.0,429790052.0
