row_label_raw,row_label_full,Ngân hàng TNHH Ngoại thương Việt Nam tại Lào,Mối liên quan > Ngân hàng con,31/12/2025Triệu VNDPhải thu/(Phải trả),31/12/2024Triệu VND,numeric__Mối liên quan > Ngân hàng con,numeric__31/12/2025Triệu VNDPhải thu/(Phải trả),numeric__31/12/2024Triệu VND
Tiền gửi tại Ngân hàng,Tiền gửi tại Ngân hàng,Tiền gửi tại Ngân hàng,,(161.266),(1.984),,-161266.0,-1984.0
Phải trả Ngân hàng,Phải trả Ngân hàng,Phải trả Ngân hàng,,-,25.147,,,25147.0
Công ty TNHH Quản lý quỹ đầu tư chứng khoán Vietcombank,Công ty TNHH Quản lý quỹ đầu tư chứng khoán Vietcombank,Công ty TNHH Quản lý quỹ đầu tư chứng khoán Vietcombank,Công ty liên doanh,,,,,
Tiền gửi tại Ngân hàng,Công ty TNHH Quản lý quỹ đầu tư chứng khoán Vietcombank > Tiền gửi tại Ngân hàng,Tiền gửi tại Ngân hàng,,(131.199),(28.813),,-131199.0,-28813.0
Công ty Liên doanh TNHH Vietcombank - Bonday - Benthanh,Công ty Liên doanh TNHH Vietcombank - Bonday - Benthanh,Công ty Liên doanh TNHH Vietcombank - Bonday - Benthanh,Công ty liên doanh,,,,,
Dư nợ thể tín dụng tại Ngân hàng,Công ty Liên doanh TNHH Vietcombank - Bonday - Benthanh > Dư nợ thể tín dụng tại Ngân hàng,Dư nợ thể tín dụng tại Ngân hàng,,320,124,,320.0,124.0
Tiền gửi tại Ngân hàng,Công ty Liên doanh TNHH Vietcombank - Bonday - Benthanh > Tiền gửi tại Ngân hàng,Tiền gửi tại Ngân hàng,,(321.337),(412.664),,-321337.0,-412664.0
Công ty Liên doanh hữu hạn Vietcombank - Bonday,Công ty Liên doanh hữu hạn Vietcombank - Bonday,Công ty Liên doanh hữu hạn Vietcombank - Bonday,Công ty liên kết,,,,,
Tiền gửi tại Ngân hàng,Công ty Liên doanh hữu hạn Vietcombank - Bonday > Tiền gửi tại Ngân hàng,Tiền gửi tại Ngân hàng,,(89.949),(107.928),,-89949.0,-107928.0
"Ngân hàng thương mại TNHH một thành viên Ngoại thương Công nghệ số (""VCBNeo"")","Ngân hàng thương mại TNHH một thành viên Ngoại thương Công nghệ số (""VCBNeo"")","Ngân hàng thương mại TNHH một thành viên Ngoại thương Công nghệ số (""VCBNeo"")",Ngân hàng con,,,,,
