row_label_raw,row_label_full,col_0,col_1,Quá hạn,Không chịu lãi,Dưới 1 tháng,Từ 1 đến 3 tháng,Từ trên 3 tháng đến 6 tháng,Từ trên 6 tháng đến 12 tháng,Từ trên 1 năm đến 5 năm,Trên 5 năm,Tổng cộng,numeric__col_1,numeric__Quá hạn,numeric__Không chịu lãi,numeric__Dưới 1 tháng,numeric__Từ 1 đến 3 tháng,numeric__Từ trên 3 tháng đến 6 tháng,numeric__Từ trên 6 tháng đến 12 tháng,numeric__Từ trên 1 năm đến 5 năm,numeric__Trên 5 năm,numeric__Tổng cộng
,,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,,
I,I,I,Tài sản,,,,,,,,,,,,,,,,,,,
I,I > I,I,"Tiền mật, vàng bạc, đá quý",-,15.466.014,-,-,-,-,-,-,15.466.014,,,15466014.0,,,,,,,15466014.0
II,I > II,II,Tiền gửi tại NHNNVN,-,-,37.211.549,-,-,-,-,-,37.211.549,,,,37211549.0,,,,,,37211549.0
III,I > III,III,Tiền gửi và cho vay các TCTD khác – gộp,-,-,507.612.731,13.945.679,3.222.274,1.896.626,-,-,526.677.310,,,,507612731.0,13945679.0,3222274.0,1896626.0,,,526677310.0
IV,I > IV,IV,Chứng khoán kinh doanh – gộp,-,-,7.362.215,-,-,-,-,-,7.362.215,,,,7362215.0,,,,,,7362215.0
V,I > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,374.918,-,-,-,-,-,-,374.918,,,374918.0,,,,,,,374918.0
VI,I > VI,VI,Cho vay khách hàng – gộp,12.861.840,-,287.334.261,556.618.726,424.791.967,177.834.008,194.995.506,81.910,1.654.518.218,,12861840.0,,287334261.0,556618726.0,424791967.0,177834008.0,194995506.0,81910.0,1654518218.0
VII,I > VII,VII,Chứng khoán đầu tư – gộp,-,-,7.113.867,20.544.745,24.334.998,28.353.657,53.276.892,29.696.105,163.320.264,,,,7113867.0,20544745.0,24334998.0,28353657.0,53276892.0,29696105.0,163320264.0
VIII,I > VIII,VIII,"Góp vốn, đầu tư dài hạn – gộp",-,6.741.134,-,-,-,-,-,-,6.741.134,,,6741134.0,,,,,,,6741134.0
IX,I > IX,IX,Tài sản cố định,-,7.979.571,-,-,-,-,-,-,7.979.571,,,7979571.0,,,,,,,7979571.0
X,I > X,X,Tài sản Có khác – gộp,-,35.220.244,-,-,-,-,-,-,35.220.244,,,35220244.0,,,,,,,35220244.0
,,,Tổng tài sản,12.861.840,65.781.881,846.634.623,591.109.150,452.349.239,208.084.291,248.272.398,29.778.015,2.454.871.437,,12861840.0,65781881.0,846634623.0,591109150.0,452349239.0,208084291.0,248272398.0,29778015.0,2454871437.0
I,I,I,Nợ phải trả,,,,,,,,,,,,,,,,,,,
I,I > I,I,Các khoản nợ Chính phủ và NHNN và tiền gửi và vay các TCTD khác,-,-,423.920.662,44.632.800,339.091,62.269,-,-,468.954.822,,,,423920662.0,44632800.0,339091.0,62269.0,,,468954822.0
II,I > II,II,Tiền gửi của khách hàng,-,-,840.114.854,256.699.256,245.554.408,279.168.888,52.903.615,-,1.674.441.021,,,,840114854.0,256699256.0,245554408.0,279168888.0,52903615.0,,1674441021.0
V,I > V,V,Phát hành giấy tờ có giá,-,-,715,4.096.000,9.999.506,9.140.000,2.500.000,1.365.000,27.101.221,,,,715.0,4096000.0,9999506.0,9140000.0,2500000.0,1365000.0,27101221.0
VI,I > VI,VI,Các khoản nợ phải trả khác,-,35.037.796,-,413.250,-,-,-,-,35.451.046,,,35037796.0,,413250.0,,,,,35451046.0
,,,Tổng nợ phải trả,-,35.037.796,1.264.036.231,305.841.306,255.893.005,288.371.157,55.403.615,1.365.000,2.205.948.110,,,35037796.0,1264036231.0,305841306.0,255893005.0,288371157.0,55403615.0,1365000.0,2205948110.0
,,,Mức chênh nhạy cảm với lãi suất nội bảng,12.861.840,30.744.085,(417.401.608),285.267.844,196.456.234,(80.286.866),192.868.783,28.413.015,248.923.327,,12861840.0,30744085.0,-417401608.0,285267844.0,196456234.0,-80286866.0,192868783.0,28413015.0,248923327.0
,,,Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ (ròng),-,-,-,-,-,-,5.880,280.504,286.384,,,,,,,,5880.0,280504.0,286384.0
,,,"Mức chênh nhạy cảm với lãi suất nội, ngoại bảng",12.861.840,30.744.085,(417.401.608),285.267.844,196.456.234,(80.286.866),192.874.663,28.693.519,249.209.711,,12861840.0,30744085.0,-417401608.0,285267844.0,196456234.0,-80286866.0,192874663.0,28693519.0,249209711.0
