row_label_raw,row_label_full,31/12/2025 > STT,31/12/2025 > Tên Công ty,31/12/2025 > Địa chỉ,31/12/2025 > % sở hữu,31/12/2025 > % quyền biểu quyết,31/12/2025 > Giá gốc VND,31/12/2025 > Dự phòng VND,31/12/2025 > Giá trị hợp lý VND,31/12/2025 > % sở hữu_1,31/12/2025 > % quyền biểu quyết_1,31/12/2025 > Giá gốc VND_1,31/12/2025 > Dự phòng VND_1,31/12/2025 > Giá trị hợp lý VND_1,numeric__31/12/2025 > Tên Công ty,numeric__31/12/2025 > Địa chỉ,numeric__31/12/2025 > % sở hữu,numeric__31/12/2025 > % quyền biểu quyết,numeric__31/12/2025 > Giá gốc VND,numeric__31/12/2025 > Dự phòng VND,numeric__31/12/2025 > Giá trị hợp lý VND,numeric__31/12/2025 > % sở hữu_1,numeric__31/12/2025 > % quyền biểu quyết_1,numeric__31/12/2025 > Giá gốc VND_1,numeric__31/12/2025 > Dự phòng VND_1,numeric__31/12/2025 > Giá trị hợp lý VND_1
Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,,,,,,,,,,,,
1,Công ty liên doanh > 1,1,Công ty TNHH Castrol BP PETCO,TP. Hồ Chí Minh,35%,35%,169.426.717.325,,-,(*),35%,35%,169.426.717.325,-,,,0.35,0.35,169426717325.0,,,,0.35,0.35,169426717325.0,
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,,,,,,,,,
1,Công ty liên kết > 1,1,Tổng Công ty Cổ phần Bảo hiểm Petrolimex (i) (**),Hà Nội,41%,41%,361.849.067.685,,-,908.204.560.000,41%,41%,361.849.067.685,-,,,0.41,0.41,361849067685.0,,,908204560000.0,0.41,0.41,361849067685.0,
2,Công ty liên kết > 2,2,Công ty Cổ phần Dịch vụ Đường cao tốc Việt Nam,Hà Nội,22%,22%,20.000.000.000,(2.000.000.000),,22%,22%,20.000.000.000,(7.286.666.667),(*),,,0.22,0.22,20000000000.0,-2000000000.0,,0.22,0.22,20000000000.0,-7286666667.0,
,,,,,,,551.275.785.010,(2.000.000.000),,,,551.275.785.010,(7.286.666.667),,,,,,551275785010.0,-2000000000.0,,,,551275785010.0,-7286666667.0,
