row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,numeric__Nhà cửa và vật kiến trúc VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,-,
Chuyển từ tài sản cố định hữu hình,Số dư đầu năm > Chuyển từ tài sản cố định hữu hình,Chuyển từ tài sản cố định hữu hình,12.875.479.663,12875479663.0
Số dư cuối năm,Số dư đầu năm > Số dư cuối năm,Số dư cuối năm,12.875.479.663,12875479663.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,-,
Khấu hao trong năm,Số dư đầu năm > Khấu hao trong năm,Khấu hao trong năm,455.210.850,455210850.0
Số dư cuối năm,Số dư đầu năm > Số dư cuối năm,Số dư cuối năm,455.210.850,455210850.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,-,
Số dư cuối năm,Số dư đầu năm > Số dư cuối năm,Số dư cuối năm,12.420.268.813,12420268813.0
