row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Bản quyền phần mềm VND,Phần mềm máy tính VND,Tài sản cố định vô hình khác VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Bản quyền phần mềm VND,numeric__Phần mềm máy tính VND,numeric__Tài sản cố định vô hình khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,219.338.898.318,5.860.531.000,380.368.973.190,8.899.275.000,614.467.677.508,219338898318.0,5860531000.0,380368973190.0,8899275000.0,614467677508.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,-,6.278.232.952,-,6.278.232.952,,,6278232952.0,,6278232952.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,-,-,59.563.124.130,-,59.563.124.130,,,59563124130.0,,59563124130.0
Tăng do nhận sáp nhập Tổng Công tyDịch vụ Xăng dầu Petrolimex (Thuyết minh 4),Nguyên giá > Tăng do nhận sáp nhập Tổng Công tyDịch vụ Xăng dầu Petrolimex (Thuyết minh 4),Tăng do nhận sáp nhập Tổng Công tyDịch vụ Xăng dầu Petrolimex (Thuyết minh 4),-,-,20.187.163,-,20.187.163,,,20187163.0,,20187163.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,219.338.898.318,5.860.531.000,446.230.517.435,8.899.275.000,680.329.221.753,219338898318.0,5860531000.0,446230517435.0,8899275000.0,680329221753.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,42.344.257.469,5.848.974.836,321.848.954.329,5.381.348.027,375.423.534.661,42344257469.0,5848974836.0,321848954329.0,5381348027.0,375423534661.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,3.966.580.864,11.556.164,11.791.702.682,483.426.514,16.253.266.224,3966580864.0,11556164.0,11791702682.0,483426514.0,16253266224.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,46.310.838.333,5.860.531.000,333.640.657.011,5.864.774.541,391.676.800.885,46310838333.0,5860531000.0,333640657011.0,5864774541.0,391676800885.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,176.994.640.849,11.556.164,58.520.018.861,3.517.926.973,239.044.142.847,176994640849.0,11556164.0,58520018861.0,3517926973.0,239044142847.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,173.028.059.985,-,112.589.860.424,3.034.500.459,288.652.420.868,173028059985.0,,112589860424.0,3034500459.0,288652420868.0
