row_label_raw,row_label_full,STT,Tên Công ty,Địa chỉ,% sở hữu,% quyền biểu quyết,31/12/2025 > Giá gốc VND,31/12/2025 > Dự phòng VND,31/12/2025 > Giá trị hợp lý VND,% sở hữu_1,% quyền biểu quyết_1,1/1/2025 > Giá gốc VND,1/1/2025 > Dự phòng VND,1/1/2025 > Giá trị hợp lý VND,numeric__Tên Công ty,numeric__Địa chỉ,numeric__% sở hữu,numeric__% quyền biểu quyết,numeric__31/12/2025 > Giá gốc VND,numeric__31/12/2025 > Dự phòng VND,numeric__31/12/2025 > Giá trị hợp lý VND,numeric__% sở hữu_1,numeric__% quyền biểu quyết_1,numeric__1/1/2025 > Giá gốc VND,numeric__1/1/2025 > Dự phòng VND,numeric__1/1/2025 > Giá trị hợp lý VND
Các công ty con cấp 1,Các công ty con cấp 1,Các công ty con cấp 1,Các công ty con cấp 1,Các công ty con cấp 1,Các công ty con cấp 1,Các công ty con cấp 1,Các công ty con cấp 1,Các công ty con cấp 1,Các công ty con cấp 1,Các công ty con cấp 1,Các công ty con cấp 1,Các công ty con cấp 1,Các công ty con cấp 1,Các công ty con cấp 1,,,,,,,,,,,,
1,Các công ty con cấp 1 > 1,1,Tổng Công ty Văn tải thủy Petrolimex,Hà Nội,100%,100%,2.196.550.463.185,-,(*),100%,100%,2.196.550.463.185,-,(*),,,1.0,1.0,2196550463185.0,,,1.0,1.0,2196550463185.0,,
2,2,2,Công ty TNHH Liên doanh Kho,Khánh,,,,,,,,,,,,,,,,,,,,,,
,,,Ngoai quan Xăng dầu Văn Phong,Hòa,85%,85%,629.755.076.565,-,(*),85%,85%,629.755.076.565,-,(*),,,0.85,0.85,629755076565.0,,,0.85,0.85,629755076565.0,,
3,2 > 3,3,Tổng Công ty Hóa dầu Petrolimex – CTCP (**),Hà Nội,79%,79%,570.562.500.000,-,1.571.675.771.400,79%,79%,570.562.500.000,-,1.431.119.401.600,,,0.79,0.79,570562500000.0,,1571675771400.0,0.79,0.79,570562500000.0,,1431119401600.0
4,2 > 4,4,Tổng Công ty Dịch vụ Xăng dầu Petrolimex (ii),Hà Nội,-,-,-,-,-,100%,100%,316.568.434.951,-,(*),,,,,,,,1.0,1.0,316568434951.0,,
5,2 > 5,5,Tổng Công ty Gas Petrolimex – CTCP (**),Hà Nội,52%,52%,306.662.738.200,-,436.139.326.200,52%,52%,306.662.738.200,-,497.767.709.250,,,0.52,0.52,306662738200.0,,436139326200.0,0.52,0.52,306662738200.0,,497767709250.0
6,2 > 6,6,Công ty TNHH MTV Petrolimex Singapore,Singapore,100%,100%,287.897.418.502,-,(*),100%,100%,287.897.418.502,-,(*),,,1.0,1.0,287897418502.0,,,1.0,1.0,287897418502.0,,
7,2 > 7,7,Công ty Cổ phần Nhiên liệu bay Petrolimex,Hà Nội,59%,59%,88.500.000.000,-,(*),59%,59%,88.500.000.000,-,(*),,,0.59,0.59,88500000000.0,,,0.59,0.59,88500000000.0,,
8,2 > 8,8,Công ty TNHH MTV Petrolimex Lào (iii),Lào,100%,100%,68.162.068.617,(68.162.068.617),(*),100%,100%,68.162.068.617,(68.162.068.617),(*),,,1.0,1.0,68162068617.0,-68162068617.0,,1.0,1.0,68162068617.0,-68162068617.0,
9,2 > 9,9,Công ty TNHH MTV - Tổng Công ty Xây lắp và Thương mại Petrolimex,Hà Nội,100%,100%,402.820.800.000,-,(*),100%,100%,402.820.800.000,-,(*),,,1.0,1.0,402820800000.0,,,1.0,1.0,402820800000.0,,
10,2 > 10,10,Công ty Cổ phần Thương mại và Văn tải Petrolimex Hà Nội (i) (**),Hà Nội,"51,06%","51,06%",32.384.930.000,-,104.757.128.000,-,-,-,-,-,,,0.5106,0.5106,32384930000.0,,104757128000.0,,,,,
,,,Công ty Cổ phần Vận tải và Dịch vụ Petrolimex Sài Gòn (i) (**),TP. Hồ Chí Minh,"52,73%","52,73%",53.722.150.000,-,37.967.550.000,-,-,-,-,-,,,0.5273,0.5273,53722150000.0,,37967550000.0,,,,,
11,2 > 11,11,Công ty Cổ phần Thương mại và Vận tải Petrolimex Đà Nẵng (i),Đà Nẵng,51%,51%,14.030.713.748,-,(*),-,-,-,-,-,,,0.51,0.51,14030713748.0,,,,,,,
13,2 > 13,13,Công ty Cổ phần Vận tải và Dịch vụ Petrolimex Nghệ Tĩnh (i) (**),Nghệ An,51%,51%,32.910.534.976,-,79.390.205.400,-,-,-,-,-,,,0.51,0.51,32910534976.0,,79390205400.0,,,,,
14,2 > 14,14,Công ty Cổ phần Vận tải và Dịch vụ Petrolimex Hà Tây (i) (**),Hà Nội,51%,51%,17.935.586.616,-,18.045.801.300,-,-,-,-,-,,,0.51,0.51,17935586616.0,,18045801300.0,,,,,
15,2 > 15,15,Công ty Cổ phần Vận tải và Dịch vụ Petrolimex Thừa Thiên Huế (i),Huế,51%,51%,9.498.019.611,-,(*),-,-,-,-,-,,,0.51,0.51,9498019611.0,,,,,,,
