row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Phương tiệnvận chuyểnVND,"Thiết bị,dụng cụ quản lýVND",Tài sảncó định khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Phương tiệnvận chuyểnVND,"numeric__Thiết bị,dụng cụ quản lýVND",numeric__Tài sảncó định khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,6.247.080.000,210.502.081.028,52.486.395.163,260.956.479.024,3.146.510.449,533.338.545.664,6247080000.0,210502081028.0,52486395163.0,260956479024.0,3146510449.0,533338545664.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,8.517.715.274,4.574.736.000,13.472.379.145,2.282.408.704,28.847.239.123,,8517715274.0,4574736000.0,13472379145.0,2282408704.0,28847239123.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,604.488.163.009,419.658.814.941,-,10.974.593.780,12.411.306.031,1.047.532.877.761,604488163009.0,419658814941.0,,10974593780.0,12411306031.0,1047532877761.0
Tăng do nhận sáp nhập Tổng Công tyDịch vụ Xăng dầu Petrolimex (Thuyết minh 4),Nguyên giá > Tăng do nhận sáp nhập Tổng Công tyDịch vụ Xăng dầu Petrolimex (Thuyết minh 4),Tăng do nhận sáp nhập Tổng Công tyDịch vụ Xăng dầu Petrolimex (Thuyết minh 4),12.875.479.663,-,865.730.184,31.303.313,-,13.772.513.160,12875479663.0,,865730184.0,31303313.0,,13772513160.0
Chuyển sang Bất động sản đầu tư,Nguyên giá > Chuyển sang Bất động sản đầu tư,Chuyển sang Bất động sản đầu tư,(12.875.479.663),-,-,-,-,(12.875.479.663),-12875479663.0,,,,,-12875479663.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,-,(2.750.000.000),-,-,(2.750.000.000),,,-2750000000.0,,,-2750000000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,610.735.243.009,638.678.611.243,55.176.861.347,285.434.755.262,17.840.225.184,1.607.865.696.045,610735243009.0,638678611243.0,55176861347.0,285434755262.0,17840225184.0,1607865696045.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,6.186.504.954,111.934.476.458,25.423.172.844,242.220.966.652,2.942.255.219,388.707.376.127,6186504954.0,111934476458.0,25423172844.0,242220966652.0,2942255219.0,388707376127.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,8.293.716.138,51.104.506.065,5.765.783.366,13.219.715.765,644.998.273,79.028.719.607,8293716138.0,51104506065.0,5765783366.0,13219715765.0,644998273.0,79028719607.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,-,(2.750.000.000),-,-,(2.750.000.000),,,-2750000000.0,,,-2750000000.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,14.480.221.092,163.038.982.523,28.438.956.210,255.440.682.417,3.587.253.492,464.986.095.734,14480221092.0,163038982523.0,28438956210.0,255440682417.0,3587253492.0,464986095734.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,60.575.046,98.567.604.570,27.063.222.319,18.735.512.372,204.255.230,144.631.169.537,60575046.0,98567604570.0,27063222319.0,18735512372.0,204255230.0,144631169537.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,596.255.021.917,475.639.628.720,26.737.905.137,29.994.072.845,14.252.971.692,1.142.879.600.311,596255021917.0,475639628720.0,26737905137.0,29994072845.0,14252971692.0,1142879600311.0
