row_label_raw,row_label_full,Các dự án đầu tư xây dựng và vận hành trạm dùng nghi trên tuyến cao tốc Bắc Nam,31/12/2025VND > 717.500.748.994,1/1/2025VND > 362.199.930.941,numeric__31/12/2025VND > 717.500.748.994,numeric__1/1/2025VND > 362.199.930.941
Dự án xây dựng trụ sở số 1 Khâm Thiên,Dự án xây dựng trụ sở số 1 Khâm Thiên,Dự án xây dựng trụ sở số 1 Khâm Thiên,-,584.547.579.767,,584547579767.0
Các dự án khác,Các dự án khác,Các dự án khác,3.064.594.394,8.104.939.244,3064594394.0,8104939244.0
,,,720.565.343.388,954.852.449.952,720565343388.0,954852449952.0
