row_label_raw,row_label_full,col_0,Chi phí đấttrả trước,Chi phíthuệ văn phòngVND,"Chi phí bảo trì,hỗ trợ kỹ thuậtVND",Chi phítrả trước khácVND,Tổng cộngVND,numeric__Chi phí đấttrả trước,numeric__Chi phíthuệ văn phòngVND,"numeric__Chi phí bảo trì,hỗ trợ kỹ thuậtVND",numeric__Chi phítrả trước khácVND,numeric__Tổng cộngVND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,-,17.328.392.258,8.706.813.595,5.941.188.829,31.976.394.682,,17328392258.0,8706813595.0,5941188829.0,31976394682.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,-,-,8.476.400.000,8.894.942.225,17.371.342.225,,,8476400000.0,8894942225.0,17371342225.0
Tăng do nhận sáp nhập Tổng Công ty Dịch vụXăng dầu Petrolimex (Thuyết minh 4),Tăng do nhận sáp nhập Tổng Công ty Dịch vụXăng dầu Petrolimex (Thuyết minh 4),Tăng do nhận sáp nhập Tổng Công ty Dịch vụXăng dầu Petrolimex (Thuyết minh 4),33.052.986.541,-,-,86.973.898,33.139.960.439,33052986541.0,,,86973898.0,33139960439.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(415.080.786),(17.328.392.258),(7.516.697.824),(6.426.964.595),(31.687.135.463),-415080786.0,-17328392258.0,-7516697824.0,-6426964595.0,-31687135463.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,32.637.905.755,-,9.666.515.771,8.496.140.357,50.800.561.883,32637905755.0,,9666515771.0,8496140357.0,50800561883.0
