row_label_raw,row_label_full,col_0,1/1/2025VND,Số phát sinh trong nămVND,Giảm do nhận sáp nhập Tổng Công ty Dịch vụ Xăng dầu Petrolimex(Thuyết minh 4)VND,Số đã nộp/được hoàn trong nămVND,31/12/2025VND,numeric__1/1/2025VND,numeric__Số phát sinh trong nămVND,numeric__Giảm do nhận sáp nhập Tổng Công ty Dịch vụ Xăng dầu Petrolimex(Thuyết minh 4)VND,numeric__Số đã nộp/được hoàn trong nămVND,numeric__31/12/2025VND
Thuế tiêu thụ đặc biệt của hàng nhập khẩu,Thuế tiêu thụ đặc biệt của hàng nhập khẩu,Thuế tiêu thụ đặc biệt của hàng nhập khẩu,114.385.964.792,(2.393.795.036.645),-,2.288.783.999.398,9.374.927.545,114385964792.0,-2393795036645.0,,2288783999398.0,9374927545.0
Thuế tiêu thụ đặc biệt của hàng tiêu thụ nội địa,Thuế tiêu thụ đặc biệt của hàng tiêu thụ nội địa,Thuế tiêu thụ đặc biệt của hàng tiêu thụ nội địa,99.515.976.049,5.406.942.181,-,-,104.922.918.230,99515976049.0,5406942181.0,,,104922918230.0
Thuế nhập khẩu,Thuế nhập khẩu,Thuế nhập khẩu,63.441.393.113,(6.542.595.051),-,40.549.793.716,97.448.591.778,63441393113.0,-6542595051.0,,40549793716.0,97448591778.0
Thuế giá trị gia tăng (*),Thuế giá trị gia tăng (*),Thuế giá trị gia tăng (*),-,(246.124.368.485),-,246.124.368.485,-,,-246124368485.0,,246124368485.0,
Thuế giá trị gia tăng hàng nhập khẩu,Thuế giá trị gia tăng hàng nhập khẩu,Thuế giá trị gia tăng hàng nhập khẩu,292.555.432.427,(5.596.718.639.775),-,5.330.872.743.455,26.709.536.107,292555432427.0,-5596718639775.0,,5330872743455.0,26709536107.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,(247.720.732.661),(206.273.192.808),(26.718.181),247.747.450.842,(206.273.192.808),-247720732661.0,-206273192808.0,-26718181.0,247747450842.0,-206273192808.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,(2.940.140.177),(25.896.249.188),-,27.923.159.082,(913.230.283),-2940140177.0,-25896249188.0,,27923159082.0,-913230283.0
Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,(276.000.000),(1.785.000.000),-,1.861.000.000,(200.000.000),-276000000.0,-1785000000.0,,1861000000.0,-200000000.0
Thuế nhà thầu nước ngoài,Thuế nhà thầu nước ngoài,Thuế nhà thầu nước ngoài,(41.403.034),(2.045.816.048),-,2.087.219.082,-,-41403034.0,-2045816048.0,,2087219082.0,
Thuế và phí khác,Thuế và phí khác,Thuế và phí khác,-,(2.301.170.165),-,2.723.088.635,421.918.470,,-2301170165.0,,2723088635.0,421918470.0
,,,318.920.490.509,(8.476.075.125.984),(26.718.181),8.188.672.822.695,31.491.469.039,318920490509.0,-8476075125984.0,-26718181.0,8188672822695.0,31491469039.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Thuế và các khoản phải thu Nhà nước,Trong đó: > Thuế và các khoản phải thu Nhà nước,Thuế và các khoản phải thu Nhà nước,569.898.766.381,,,,238.877.892.130,569898766381.0,,,,238877892130.0
Thuế và các khoản phải nộp Nhà nước,Trong đó: > Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,(250.978.275.872),,,,(207.386.423.091),-250978275872.0,,,,-207386423091.0
,,,318.920.490.509,,,,31.491.469.039,318920490509.0,,,,31491469039.0
