row_label_raw,row_label_full,Tài sân,Tài sân_1,numeric__Tài sân_1
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,145.966.945.958,145966945958.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,23.512.507.962,23512507962.0
Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,359.706.060,359706060.0
Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,3.671.436.981,3671436981.0
Tài sân cố định hữu hình,Tài sân cố định hữu hình,Tài sân cố định hữu hình,13.772.513.160,13772513160.0
Tài sân cố định vô hình,Tài sân cố định vô hình,Tài sân cố định vô hình,20.187.163,20187163.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,33.139.960.439,33139960439.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,
Thuế và các khoản phải nộp Nhà nước,Nợ phải trả > Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,26.718.181,26718181.0
Doanh thu chưa thực hiện ngắn hạn,Nợ phải trả > Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,885.677.419,885677419.0
Vốn chủ sở hữu,Vốn chủ sở hữu,Vốn chủ sở hữu,Vốn chủ sở hữu,
Vốn góp,Vốn chủ sở hữu > Vốn góp,Vốn góp,156.086.500.000,156086500000.0
Lợi nhuận sau thuế chưa phân phối,Vốn chủ sở hữu > Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,63.444.362.123,63444362123.0
