row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng cộng VND
Số dư tại ngày 1/1/2024,Số dư tại ngày 1/1/2024,Số dư tại ngày 1/1/2024,12.938.780.810.000,7.359.059.317.417,(232.858.460.000),468.963.972.719,2.176.484.457.370,22.710.430.097.506,12938780810000.0,7359059317417.0,-232858460000.0,468963972719.0,2176484457370.0,22710430097506.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,1.672.423.391.618,1.672.423.391.618,,,,,1672423391618.0,1672423391618.0
"Phân bổ vào quỹ khen thưởng,phúc lợi (Thuyết minh 23)","Phân bổ vào quỹ khen thưởng,phúc lợi (Thuyết minh 23)","Phân bổ vào quỹ khen thưởng,phúc lợi (Thuyết minh 23)",-,-,-,-,(53.477.579.214),(53.477.579.214),,,,,-53477579214.0,-53477579214.0
Phân bổ vào quỹ đầu tư phát triển,Phân bổ vào quỹ đầu tư phát triển,Phân bổ vào quỹ đầu tư phát triển,-,-,-,217.118.525.656,(217.118.525.656),-,,,,217118525656.0,-217118525656.0,
Cổ tức (Thuyết minh 27),Cổ tức (Thuyết minh 27),Cổ tức (Thuyết minh 27),-,-,-,-,(1.905.888.352.500),(1.905.888.352.500),,,,,-1905888352500.0,-1905888352500.0
Số dư tại ngày 1/1/2025,Số dư tại ngày 1/1/2025,Số dư tại ngày 1/1/2025,12.938.780.810.000,7.359.059.317.417,(232.858.460.000),686.082.498.375,1.672.423.391.618,22.423.487.557.410,12938780810000.0,7359059317417.0,-232858460000.0,686082498375.0,1672423391618.0,22423487557410.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,1.903.818.793.484,1.903.818.793.484,,,,,1903818793484.0,1903818793484.0
"Phân bổ vào quỹ khen thưởng,phúc lợi (Thuyết minh 23)","Phân bổ vào quỹ khen thưởng,phúc lợi (Thuyết minh 23)","Phân bổ vào quỹ khen thưởng,phúc lợi (Thuyết minh 23)",-,-,-,-,(53.178.149.500),(53.178.149.500),,,,,-53178149500.0,-53178149500.0
Phân bổ vào quỹ đầu tư phát triển,Phân bổ vào quỹ đầu tư phát triển,Phân bổ vào quỹ đầu tư phát triển,-,-,-,94.534.560.118,(94.534.560.118),-,,,,94534560118.0,-94534560118.0,
Cổ tức (Thuyết minh 27),Cổ tức (Thuyết minh 27),Cổ tức (Thuyết minh 27),-,-,-,-,(1.524.710.682.000),(1.524.710.682.000),,,,,-1524710682000.0,-1524710682000.0
Tăng do nhận sáp nhập Tổng Công tyDịch vụ Xăng dầu Petrolimex(Thuyết minh 4),Tăng do nhận sáp nhập Tổng Công tyDịch vụ Xăng dầu Petrolimex(Thuyết minh 4),Tăng do nhận sáp nhập Tổng Công tyDịch vụ Xăng dầu Petrolimex(Thuyết minh 4),-,-,-,-,63.444.362.123,63.444.362.123,,,,,63444362123.0,63444362123.0
Số dư tại ngày 31/12/2025,Số dư tại ngày 31/12/2025,Số dư tại ngày 31/12/2025,12.938.780.810.000,7.359.059.317.417,(232.858.460.000),780.617.058.493,1.967.263.155.607,22.812.861.881.517,12938780810000.0,7359059317417.0,-232858460000.0,780617058493.0,1967263155607.0,22812861881517.0
