row_label_raw,row_label_full,col_0,Giá trị ghi số và số có khả năng trả nợ,Giá trị ghi số và số có khả năng trả nợ_1,numeric__Giá trị ghi số và số có khả năng trả nợ,numeric__Giá trị ghi số và số có khả năng trả nợ_1
,,,2025VND,2024VND,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,11.534.922.925.817,13.222.530.451.659,11534922925817.0,13222530451659.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,59.241.777.018.326,49.470.153.222.156,59241777018326.0,49470153222156.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,(58.773.914.022.084),(51.157.760.747.998),-58773914022084.0,-51157760747998.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,12.002.785.922.059,11.534.922.925.817,12002785922059.0,11534922925817.0
